"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
NULL;NULL;NULL;NULL;"Adult";"102824";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"105159";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102760";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104257";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"PR1 6PR";"53.7714136";"-2.6888796";"Adult";"104986";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"112";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";NULL;NULL;NULL;"Adult";"102763";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"101895";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"135";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"CW11 3FX";"53.1441634";"-2.3922723";"Adult";"104314";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"103095";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"HA6 3HS";"51.6176567";"-0.4147164";"Adult";"100547";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"102538";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"101694";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Adult";"100542";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA10 5JR";"54.3151607";"-2.4935491";"Adult";"102605";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Adult";"104831";"Y";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"243";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102734";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"105039";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102907";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"103704";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"104967";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104997";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"293";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103097";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA4 5PU";"54.0725914";"-2.8542724";"Adult";"310";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"M28 2TT";"53.5070092";"-2.3724055";"Adult";"103098";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"405";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"IG1 3JJ";"51.5689581";"0.06028796";"Adult";"105121";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104657";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102632";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"455";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"SM6 0NF";"51.3575964";"-0.1503373";"Adult";"101959";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
"F";"M27 6HJ";"53.5223032";"-2.3388839";"Adult";"102619";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102845";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 1YB";"53.7484208";"-3.0173861";"Adult";"499";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"578";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"104554";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR2 6BH";"53.7781575";"-2.6613736";"Adult";"585";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"5625";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103705";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102855";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR7 6LF";"53.666474";"-2.6756458";"Adult";"102616";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104869";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102827";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA9 7NN";"54.3148511";"-2.7328553";"Adult";"101971";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Adult";"104991";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"Y"
"M";NULL;NULL;NULL;"Adult";"101972";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102825";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"5644";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"100087";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LE3 9BX";"52.6474773";"-1.165303";"Adult";"104274";"Y";"N";"Y";"N";"N";"N";"Y";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102792";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"105150";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102904";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"103730";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BL7 0PD";"53.647064";"-2.3976395";"Adult";"103026";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"M29 7TX";"53.5030526";"-2.4555789";"Adult";"103015";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"M29 7TX";"53.5030526";"-2.4555789";"Adult";"105058";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102307";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"SO22 5QX";"51.0472344";"-1.3573073";"Adult";"105071";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102910";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102810";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102973";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA9 4AD";"54.3296359";"-2.7476893";"Adult";"105162";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104704";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Adult";"102913";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102905";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"1129";"Y";"Y";"N";"N";"Y";"N";"Y";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101994";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA9 6DL";"54.338346";"-2.7381943";"Adult";"103017";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"CA4 8LE";"54.8906374";"-2.8409066";"Adult";"105059";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"BB11 2HN";"53.7839618";"-2.2437834";"Adult";"104349";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103710";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"100567";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"104648";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Adult";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101998";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101999";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"WA11 9RW";"53.469";"-2.7037883";"Adult";"105027";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"105398";"Y";"N";"Y";"N";"Y";"N";"Y";"Y";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"1302";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Adult";"102814";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102872";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102761";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"103711";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"101483";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA6 2BB";"54.205825";"-2.5969083";"Adult";"1493";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Adult";"102906";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR1 7UG";"53.7701286";"-2.7101214";"Adult";"104277";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"Y";"Y"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"105127";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BL5 2PQ";"53.5429841";"-2.5259004";"Adult";"104978";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"HP2 4DE";"51.7536794";"-0.4471908";"Adult";"105274";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
