"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
;"PR25 1RB";"53.6913515";"-2.7123455";"Active Booker";"4173";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"174.40"
"M";"FY7 8EX";"53.9107992";"-3.038209";"Lapsed Booker";"100493";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"173.70"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"100085";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"172.40"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1757";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"172.40"
"M";"PR4 5YT";"53.7262091";"-2.7807909";"Regular Booker";"7282";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"172.40"
"M";"PR4 2BU";"53.7819528";"-2.8828197";"Regular Booker";"2859";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"172.40"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"105405";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"172.40"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"4906";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"172.40"
;"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"5148";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"172.40"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"102047";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"161.00"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"4712";"N";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"155.00"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"100127";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"154.65"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"103752";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N";"Y";"N";"149.00"
;"LA1 2NE";"54.0618975";"-2.8037951";"Lapsed Booker";"3171";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.90"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"100262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"140";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"147.60"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"513";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
;"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y";"147.60"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"584";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"1684";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"1758";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"147.60"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"100358";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"1934";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"147.60"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"2147";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"100256";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"F";"LA5 8JA";"54.1054419";"-2.7918837";"Lapsed Booker";"103121";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"4899";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"147.60"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"100226";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"147.60"
"M";"FY3 7NP";"53.8322567";"-3.0198582";"Lapsed Booker";"100249";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"144.00"
"F";"LA3 1UN";"54.0619372";"-2.8825314";"Lapsed Booker";"100507";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"144.00"
"M";"PR1 2HD";"53.7609091";"-2.7027934";"Student";"1658";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"136.00"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101203";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"135.50"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"100520";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"134.00"
"F";"WA3 5HX";"53.4548824";"-2.4967861";"Lapsed Booker";"100528";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"133.00"
;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"4689";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"131.00"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105714";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"124.20"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"1951";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"120.00"
;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"1947";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"110.50"
"M";"LA10 5JR";"54.3151607";"-2.4935491";"Lapsed Booker";"4713";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"109.00"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"102091";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"108.00"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"5298";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"107.46"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"102714";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"106.40"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102851";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"106.00"
"M";"G5  0UQ";"55.8468375";"-4.2437438";"Active Booker";"105705";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"104.00"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"100397";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"102.00"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"1739";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"101.00"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4000";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"100.50"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"100.00"
"M";"BD24 9LP";"54.0748693";"-2.2727337";"Lapsed Booker";"101180";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"97.00"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"4104";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"94.35"
"M";"PR3 2YG";"53.8285086";"-2.591444";"Active Booker";"105416";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"94.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4103";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"92.00"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Active Booker";"629";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"91.80"
;"BA12 9HS";"51.2019133";"-2.1726071";"Active Booker";"100542";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"90.00"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"100531";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"90.00"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"278";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"88.00"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"3448";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"85.95"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"100431";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"84.00"
;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"82.50"
"M";;;;"Student";"103054";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"82.00"
;"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"7285";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"81.00"
;"CF64 2JY";"51.4423137";"-3.18725";"Lapsed Booker";"6304";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"81.00"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Student";"100630";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"80.00"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"103751";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"80.00"
"F";"BD17 6JQ";"53.8511907";"-1.7605628";"Student";"103083";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"79.00"
"F";"BD24 9LP";"54.0748693";"-2.2727337";"Lapsed Booker";"101106";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"78.30"
;"LA8 9AD";"54.3771761";"-2.7639034";"Active Booker";"3301";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"78.00"
"F";"BL8 1DR";"53.6039659";"-2.3147611";"Student";"5585";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"77.00"
"F";"LA4 5PU";"54.0725914";"-2.8542724";"Lapsed Booker";"100418";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"77.00"
"M";"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"4879";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"77.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"76.00"
"M";"SK22 4DW";"53.3717108";"-1.998747";"Lapsed Booker";"102090";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"75.00"
;"PR2 3QZ";"53.7824";"-2.7246355";"Student";"102123";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"73.20"
;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"949";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"73.00"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"102111";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"73.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"5095";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"72.00"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Active Booker";"2511";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"71.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"100480";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"71.00"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Lapsed Booker";"101147";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"71.00"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105730";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"70.00"
"F";;;;"Student";"103060";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"70.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4824";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"70.00"
"M";"LA8 8AX";"54.2983918";"-2.8113626";"Lapsed Booker";"851";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"69.35"
;"LA3 3ES";"54.0474118";"-2.8564615";"Lapsed Booker";"4237";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"69.35"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"101207";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"69.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"101089";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"67.00"
"M";;;;"Student";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"67.00"
;"LA5 0SN";"54.1867024";"-2.8271845";"Lapsed Booker";"101168";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"67.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"101765";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"66.00"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102270";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?";"66.00"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Regular Booker";"429";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"65.55"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100446";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"64.90"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"100953";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"64.50"
;"LA9 7NN";"54.3148511";"-2.7328553";"Active Booker";"5359";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"63.00"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"4153";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"62.30"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1149";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N";"62.10"
;"EX6 8JS";"50.6471074";"-3.477137";"Student";"102957";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"62.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102157";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"61.50"
"F";;;;"Lapsed Booker";"102088";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"61.00"
;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101725";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"61.00"
;"B14 7DG";"52.4336928";"-1.8933012";"Active Booker";"5588";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"60.00"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Lapsed Booker";"100258";"N";"N";"Y";"N";"N";"N";"N";"N";"N";"N";"60.00"
;"CW8 2PS";"53.2396026";"-2.5978109";"Lapsed Booker";"101797";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"60.00"
"F";"FY6 0EE";"53.9196633";"-2.9697789";"Active Booker";"3540";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"59.50"
;"WA14 3DQ";"53.3725964";"-2.3640538";"Lapsed Booker";"101167";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"59.00"
"M";"M26 3GF";"53.5657488";"-2.3437109";"Lapsed Booker";"101805";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"59.00"
"F";"LA8 0LX";"54.2924085";"-2.6926972";"Lapsed Booker";"102146";"Y";"?";"N";"?";"N";"?";"?";"?";"?";"?";"59.00"
;"FY8 1YB";"53.7484208";"-3.0173861";"Active Booker";"4217";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"58.90"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"100362";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"58.00"
;"FY6 7EG";"53.8502603";"-2.9959212";"Lapsed Booker";"100502";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"58.00"
"M";"M29 7TX";"53.5030526";"-2.4555789";"Lapsed Booker";"103015";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N";"57.00"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"57.00"
"F";;;;"Lapsed Booker";"102252";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"57.00"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Active Booker";"102161";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N";"57.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100342";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"57.00"
"M";;;;"Lapsed Booker";"102264";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"56.45"
;"PR4 5YT";"53.7262091";"-2.7807909";"Active Booker";"3128";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"56.05"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"102299";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"56.00"
;"LA7 7TZ";"54.2266742";"-2.7724253";"Active Booker";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"56.00"
"F";;;;"Student";"102553";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"56.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100677";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"56.00"
"M";"HU17 8RG";"53.8349252";"-0.4470646";"Lapsed Booker";"102916";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N";"55.00"
;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"1295";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"54.15"
;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"100476";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"54.00"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"102103";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"54.00"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"53.90"
"M";"BB1 9QA";"53.7805183";"-2.4781257";"Active Booker";"1805";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"53.20"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Lapsed Booker";"336";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"52.00"
"F";"LA9 4JU";"54.3252657";"-2.7521208";"Lapsed Booker";"102099";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"52.00"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"2995";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"52.00"
"F";;;;"Lapsed Booker";"101063";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"52.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101810";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"51.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"100564";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"50.50"
;"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"50";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"50.00"
