"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
;;;;"Lapsed Booker";"5671";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"2814.00"
;;;;"Lapsed Booker";"5636";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"2640.00"
;"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"3648";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"496.40"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2923";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"471.60"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100426";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"439.10"
"M";;;;"Regular Booker";"2517";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"409.60"
;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"5144";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"377.20"
;"LA1 2NE";"54.0618975";"-2.8037951";"Active Booker";"100530";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"363.80"
"C";"BB7 2DU";"53.8736387";"-2.3959476";"Lapsed Booker";"101979";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"360.00"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"103750";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"352.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"102246";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"348.80"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"4349";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"348.80"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"2275";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"344.80"
"M";"PR3 2WD";"53.8518333";"-2.6171869";"Active Booker";"3384";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"344.80"
;"PR4 3HD";"53.7998213";"-2.8807787";"Regular Booker";"4386";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"344.80"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"5319";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"344.80"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"3907";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"341.00"
"F";"CW9 8FD";"53.2402985";"-2.5133415";"Lapsed Booker";"100247";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"331.00"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105484";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N";"320.20"
"F";;;;"Active Booker";"100434";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"312.00"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"102281";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"310.20"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"103708";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"298.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"295.20"
;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"677";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"830";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1417";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"295.20"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Regular Booker";"1497";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1808";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2718";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"295.20"
"F";"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"2845";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"295.20"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"3868";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"295.20"
;"LA1 1PS";"54.049537";"-2.7996342";"Regular Booker";"100257";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"295.20"
"F";"PR1 4YA";"53.760791";"-2.6773616";"Lapsed Booker";"2868";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"280.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"5692";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"264.00"
"F";;;;"Lapsed Booker";"100584";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"254.00"
"F";"L39 2XP";"53.5698769";"-2.8775077";"Lapsed Booker";"6228";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"240.00"
"C";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100252";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"240.00"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Student";"621";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"204.80"
;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"4616";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"204.80"
"M";"BD24 0DJ";"54.0932149";"-2.2992893";"Lapsed Booker";"6200";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"200.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"182.20"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100428";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"180.00"
"F";"FY5 5AG";"53.8699588";"-2.9978059";"Regular Booker";"1405";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"177.50"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1701";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"174.40"
"M";;;;"Regular Booker";"2863";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"174.40"
