"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;"TW8 9NA";"51.4913733";"-0.3100933";"Active Booker";"105163";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104901";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR4 2BU";"53.7819528";"-2.8828197";"Active Booker";"105265";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Student";"621";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Active Booker";"629";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CA11 9NW";"54.6977093";"-2.7835463";"Student";"105054";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"DE4 5GL";"53.1130347";"-1.5112723";"Lapsed Booker";"102985";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104715";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"5625";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"L9  1BY";"53.452945";"-2.9608073";"Active Booker";"104965";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"650";"N";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"102970";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"BD20 9HJ";"53.9229945";"-1.9648516";"Student";"105918";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y"
"M";"LA2 7LT";"54.1065596";"-2.5083731";"Lapsed Booker";"102663";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 1LH";"53.7683609";"-2.7480564";"Active Booker";"105129";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105230";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"103076";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104878";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"677";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102855";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104842";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Student";"104939";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"104221";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105459";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102687";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Regular Booker";"103788";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Student";"104333";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"PR7 6LF";"53.666474";"-2.6756458";"Lapsed Booker";"102616";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR7 6LF";"53.666474";"-2.6756458";"Lapsed Booker";"102650";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"CA11 8HQ";"54.6662135";"-2.7399888";"Lapsed Booker";"102579";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Student";"101969";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y"
"C";NULL;NULL;NULL;"Lapsed Booker";"102816";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104869";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102709";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"CA17 4AP";"54.4806058";"-2.350024";"Lapsed Booker";"706";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Student";"104940";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"102544";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102827";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PE6 7SE";"52.6236022";"-0.2509234";"Student";"104924";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA4 4PE";"54.0670876";"-2.8655259";"Lapsed Booker";"725";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"TF2 9LS";"52.6935235";"-2.4310067";"Lapsed Booker";"102667";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102685";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR4 3HD";"53.7998213";"-2.8807787";"Active Booker";"102809";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102565";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104855";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"CH3 5ET";"53.1919113";"-2.861773";"Student";"104246";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA9 7NN";"54.3148511";"-2.7328553";"Active Booker";"101971";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104234";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"764";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"104228";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"104991";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"Y"
NULL;NULL;NULL;NULL;"Active Booker";"105018";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"101972";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105090";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102620";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"BB5 6HG";"53.7616329";"-2.3520464";"Active Booker";"105385";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102892";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"104237";"Y";"Y";"N";"N";"Y";"N";"Y";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105206";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103073";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104846";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"104230";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"FY8 2HE";"53.7604711";"-3.0334622";"Lapsed Booker";"102914";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"102299";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101313";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"FY5 2JR";"53.8834608";"-3.0251536";"Student";"104295";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102946";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102825";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"L39 4TT";"53.5628475";"-2.8867034";"Lapsed Booker";"102882";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104907";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104909";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"CA6 4JW";"54.9433804";"-2.908663";"Regular Booker";"105386";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"FY8 2HE";"53.7604711";"-3.0334622";"Lapsed Booker";"822";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Active Booker";"5644";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Regular Booker";"100087";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"HD8 0JW";"53.6244053";"-1.7107674";"Active Booker";"105340";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"830";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"102542";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105458";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101976";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102859";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"FY8 3JG";"53.7596602";"-3.0108919";"Active Booker";"105247";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104848";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Regular Booker";"103676";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105363";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105315";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"M";"BB4 6SH";"53.6971095";"-2.3035522";"Active Booker";"105028";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102659";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY5 5AG";"53.8699588";"-2.9978059";"Active Booker";"105334";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105141";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"868";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103049";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"103647";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"M28 2TT";"53.5070092";"-2.3724055";"Student";"105454";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LE3 9BX";"52.6474773";"-1.165303";"Student";"104274";"Y";"N";"Y";"N";"N";"N";"Y";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105196";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"S66 3QZ";"53.4334505";"-1.2768829";"Lapsed Booker";"102852";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"103764";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102792";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105150";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"905";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"100154";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104902";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Student";"102554";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102904";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB6 7RA";"53.7872797";"-2.4048046";"Active Booker";"105173";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA20 6AS";"54.2950114";"-3.2052614";"Active Booker";"105057";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102688";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"102690";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"SY23 3HR";"52.4156259";"-4.0154048";"Active Booker";"105248";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"100085";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Student";"103730";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BL7 0PD";"53.647064";"-2.3976395";"Lapsed Booker";"103026";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"M29 7TX";"53.5030526";"-2.4555789";"Lapsed Booker";"103015";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"M29 7TX";"53.5030526";"-2.4555789";"Student";"105058";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"102307";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"950";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"C";NULL;NULL;NULL;"Active Booker";"101252";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"HU17 8RG";"53.8349252";"-0.4470646";"Student";"100569";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";"HU17 8RG";"53.8349252";"-0.4470646";"Lapsed Booker";"102916";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"M3  2EG";"53.4830351";"-2.2471228";"Active Booker";"104220";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR2 6BH";"53.7781575";"-2.6613736";"Active Booker";"105267";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102998";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Student";"965";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA5 8JA";"54.1054419";"-2.7918837";"Lapsed Booker";"969";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105463";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"SO22 5QX";"51.0472344";"-1.3573073";"Active Booker";"105071";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102910";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Student";"102556";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR3 0TB";"53.882743";"-2.7994458";"Regular Booker";"103632";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102810";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 7HX";"54.1170974";"-2.5192143";"Lapsed Booker";"993";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"100628";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105264";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Regular Booker";"1002";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104845";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BB11 3NY";"53.7827771";"-2.2335669";"Active Booker";"105052";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"C";NULL;NULL;NULL;"Active Booker";"105477";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"PR5 6NR";"53.7294023";"-2.6574883";"Lapsed Booker";"102680";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102973";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"100362";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY3 8JT";"53.8240404";"-3.0251566";"Lapsed Booker";"1044";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1055";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Lapsed Booker";"102964";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA9 4AD";"54.3296359";"-2.7476893";"Lapsed Booker";"102918";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Regular Booker";"103729";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102641";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA9 4AD";"54.3296359";"-2.7476893";"Active Booker";"105162";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105396";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA10 5JR";"54.3151607";"-2.4935491";"Lapsed Booker";"102880";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104954";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104704";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105281";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102913";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"1111";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102905";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105190";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105045";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105488";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"1129";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105352";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"FY4 1JS";"53.7892077";"-3.051314";"Student";"104347";"Y";"N";"N";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102504";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102782";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA9 4AD";"54.3296359";"-2.7476893";"Active Booker";"105342";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"101994";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 2NE";"54.0618975";"-2.8037951";"Lapsed Booker";"102645";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102727";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104871";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA9 4JU";"54.3252657";"-2.7521208";"Active Booker";"102550";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA9 6DL";"54.338346";"-2.7381943";"Lapsed Booker";"103017";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101317";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1149";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"CA16 6US";"54.575236";"-2.482888";"Lapsed Booker";"102514";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CA4 8LE";"54.8906374";"-2.8409066";"Active Booker";"105059";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"BB11 2HN";"53.7839618";"-2.2437834";"Student";"104349";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"N";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102923";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105292";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"105035";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"102479";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"SK2 7PQ";"53.3898601";"-2.1368601";"Active Booker";"104964";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"101148";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB9 8LT";"53.8454215";"-2.2054529";"Active Booker";"105080";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"OL14 7JN";"53.7089213";"-2.111073";"Lapsed Booker";"102922";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"103710";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"100567";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105093";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104648";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"CA16 6US";"54.575236";"-2.482888";"Student";"105091";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"105420";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Student";"104676";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105034";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
