"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105730";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104886";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"HA6 3HS";"51.6176567";"-0.4147164";"Active Booker";"105189";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102520";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103082";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105156";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"105038";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105047";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"103018";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR3 6SR";"53.9082651";"-2.9008916";"Active Booker";"185";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"C";NULL;NULL;NULL;"Lapsed Booker";"100186";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"105256";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102538";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"204";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105476";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY6 8HP";"53.8400329";"-2.9789737";"Lapsed Booker";"103062";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
