"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalTicketCount"
"F";"L39 2XP";"53.5698769";"-2.8775077";"Lapsed Booker";"6228";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"66"
"F";NULL;NULL;NULL;"Active Booker";"100434";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"63"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"50"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"4712";"N";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"49"
"C";"BB7 2DU";"53.8736387";"-2.3959476";"Lapsed Booker";"101979";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"48"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"3648";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"45"
"F";"CW9 8FD";"53.2402985";"-2.5133415";"Lapsed Booker";"100247";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"44"
NULL;"PR3 2WD";"53.8518333";"-2.6171869";"Lapsed Booker";"487";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"40"
"F";"PR1 4YA";"53.760791";"-2.6773616";"Lapsed Booker";"2868";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"38"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"103711";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"36"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"5692";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"35"
"F";NULL;NULL;NULL;"Lapsed Booker";"100584";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"34"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"102281";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"34"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2923";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"33"
"C";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100252";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"33"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"3907";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"32"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100426";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"32"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105484";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N";"31"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"677";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"830";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1417";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"30"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Regular Booker";"1497";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1757";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"30"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1808";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"102246";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"30"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"2275";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
"M";NULL;NULL;NULL;"Regular Booker";"2517";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2718";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"30"
"F";"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"2845";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
"M";"PR3 2WD";"53.8518333";"-2.6171869";"Active Booker";"3384";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"30"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"3868";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"30"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"4349";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"PR4 3HD";"53.7998213";"-2.8807787";"Regular Booker";"4386";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"4906";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"5144";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"30"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"5319";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"30"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Regular Booker";"100257";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"30"
NULL;"LA1 2NE";"54.0618975";"-2.8037951";"Active Booker";"100530";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"28"
"M";"BD24 0DJ";"54.0932149";"-2.2992893";"Lapsed Booker";"6200";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"28"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"100127";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"25"
"M";"FY3 7NP";"53.8322567";"-3.0198582";"Lapsed Booker";"100249";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"22"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"103708";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"22"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"21"
"M";"PR1 2HD";"53.7609091";"-2.7027934";"Student";"1658";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"20"
NULL;NULL;NULL;NULL;"Active Booker";"101181";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"18"
"M";"FY7 8EX";"53.9107992";"-3.038209";"Lapsed Booker";"100493";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"18"
