"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalTicketCount"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"1951";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"17"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"100520";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"17"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"103750";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"17"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"16"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"1739";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"16"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"100262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"140";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"15"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"513";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y";"15"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"584";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Student";"621";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"15"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"100085";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"15"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"1684";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1701";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"15"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"1758";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"15"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"100358";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"1934";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"15"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"2147";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";"PR4 5YT";"53.7262091";"-2.7807909";"Regular Booker";"7282";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"100256";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";NULL;NULL;NULL;"Regular Booker";"2863";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";"PR4 2BU";"53.7819528";"-2.8828197";"Regular Booker";"2859";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"105405";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"15"
"F";"LA5 8JA";"54.1054419";"-2.7918837";"Lapsed Booker";"103121";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"15"
NULL;"PR25 1RB";"53.6913515";"-2.7123455";"Active Booker";"4173";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"15"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"4616";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"4899";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"5148";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"15"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"100226";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"15"
"F";"WA3 5HX";"53.4548824";"-2.4967861";"Lapsed Booker";"100528";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"14"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100428";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"14"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"2372";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N";"14"
"C";NULL;NULL;NULL;"Lapsed Booker";"5603";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"13"
"M";"LA10 5JR";"54.3151607";"-2.4935491";"Lapsed Booker";"4713";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"13"
"C";NULL;NULL;NULL;"Lapsed Booker";"100186";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"12"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101073";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"12"
NULL;"LA1 2NE";"54.0618975";"-2.8037951";"Lapsed Booker";"3171";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"12"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"103752";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N";"Y";"N";"12"
"F";"LA3 1UN";"54.0619372";"-2.8825314";"Lapsed Booker";"100507";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"12"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101074";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"12"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Active Booker";"100542";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"11"
"M";"PR3 2YG";"53.8285086";"-2.591444";"Active Booker";"105416";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"11"
"M";NULL;NULL;NULL;"Student";"103054";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"11"
"F";NULL;NULL;NULL;"Lapsed Booker";"5602";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"10"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"100397";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"10"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Active Booker";"365";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"10"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"100431";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"10"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102851";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"10"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"5298";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"10"
"F";"FY5 5AG";"53.8699588";"-2.9978059";"Regular Booker";"1405";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"9"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"102047";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"9"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"1947";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"9"
"C";NULL;NULL;NULL;"Lapsed Booker";"5638";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"9"
"F";NULL;NULL;NULL;"Student";"6293";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"9"
NULL;"CF64 2JY";"51.4423137";"-3.18725";"Lapsed Booker";"6304";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"9"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"455";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
"M";NULL;NULL;NULL;"Lapsed Booker";"101972";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"8"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"102299";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"8"
"C";NULL;NULL;NULL;"Active Booker";"101252";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"8"
"F";NULL;NULL;NULL;"Lapsed Booker";"5601";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
"M";NULL;NULL;NULL;"Student";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
NULL;"B14 7DG";"52.4336928";"-1.8933012";"Active Booker";"5588";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105714";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"103751";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
"F";"BL8 1DR";"53.6039659";"-2.3147611";"Student";"5585";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"8"
"F";"LA8 8AX";"54.2983918";"-2.8113626";"Lapsed Booker";"101759";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
"C";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"2714";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"8"
NULL;"PR2 3QZ";"53.7824";"-2.7246355";"Student";"102123";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"100531";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
NULL;"LA8 9AD";"54.3771761";"-2.7639034";"Active Booker";"3301";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"8"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"3448";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
NULL;"EX6 8JS";"50.6471074";"-3.477137";"Student";"102957";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"8"
"M";NULL;NULL;NULL;"Active Booker";"5659";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"8"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"102091";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"8"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"102714";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102204";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"8"
"F";"M21 0ST";"53.4444333";"-2.26802";"Lapsed Booker";"103085";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N";"8"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101810";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"101089";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"7"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"102111";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"7"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4817";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4824";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
NULL;NULL;NULL;NULL;"Regular Booker";"101210";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101203";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"7"
"F";"BD24 9LP";"54.0748693";"-2.2727337";"Lapsed Booker";"101106";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"243";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"6"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"278";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"103097";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"6"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Student";"100630";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"462";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"6"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Active Booker";"629";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"101148";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"C";NULL;NULL;NULL;"Lapsed Booker";"101132";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"6"
"F";NULL;NULL;NULL;"Active Booker";"1914";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"6"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"103712";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"101765";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101766";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"6"
"F";"BD17 6JQ";"53.8511907";"-1.7605628";"Student";"103083";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Active Booker";"102161";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N";"6"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"4104";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"6"
"F";NULL;NULL;NULL;"Lapsed Booker";"102094";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"6"
"F";NULL;NULL;NULL;"Lapsed Booker";"5476";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"6"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101725";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"6"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105730";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101767";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102531";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"5"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"5"
"M";"BD20 9HJ";"53.9229945";"-1.9648516";"Student";"105918";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"5"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101313";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103709";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"5"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"101749";"Y";"N";"N";"N";"Y";"N";"Y";"N";"N";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101998";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Active Booker";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"5"
"F";NULL;NULL;NULL;"Student";"102553";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"5"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"102235";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"5"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"100953";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"F";NULL;NULL;NULL;"Lapsed Booker";"101730";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"5"
"M";NULL;NULL;NULL;"Lapsed Booker";"100049";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"5"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"100433";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"F";NULL;NULL;NULL;"Active Booker";"102082";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"5"
"M";NULL;NULL;NULL;"Student";"2802";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"7285";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"103064";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"5"
"F";"B30 1NA";"52.4232172";"-1.9411357";"Lapsed Booker";"102265";"Y";"?";"N";"?";"N";"?";"?";"?";"?";"?";"5"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102270";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?";"5"
NULL;"CW8 2PS";"53.2396026";"-2.5978109";"Lapsed Booker";"101797";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"101078";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4103";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"5"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"4272";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"F";"BN18 9PB";"50.8617339";"-0.5476743";"Student";"105939";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"4689";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"5"
"F";"LA12 7PU";"54.2065";"-3.0903819";"Lapsed Booker";"101715";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
"M";"BD24 9LP";"54.0748693";"-2.2727337";"Lapsed Booker";"101180";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"5"
