"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
"F";"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"105409";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA4 5PU";"54.0725914";"-2.8542724";"Adult";"310";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102531";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"102737";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"336";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 4PE";"54.0670876";"-2.8655259";"Adult";"103099";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"BL1 4BW";"53.5826165";"-2.4486602";"Adult";"102458";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Senior ";"365";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CA17 4AP";"54.4806058";"-2.350024";"Adult";"103100";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"101337";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103067";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"425";"Y";"Y";"N";"?";"N";"?";"?";"?";"?";"?"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Adult";"100630";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"429";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"445";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"455";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BB7 3AA";"53.9105";"-2.4500566";"Adult";"102483";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"486";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"FY8 1YB";"53.7484208";"-3.0173861";"Adult";"499";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102332";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CW11 3FX";"53.1441634";"-2.3922723";"Adult";"104259";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y"
"F";"LA8 8AX";"54.2983918";"-2.8113626";"Adult";"103795";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Adult";"105408";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 6SR";"53.9082651";"-2.9008916";"Adult";"103116";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"103093";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103001";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"584";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR2 6BH";"53.7781575";"-2.6613736";"Adult";"585";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Adult";"621";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Adult";"629";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104715";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"650";"N";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"102970";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103705";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"BD20 9HJ";"53.9229945";"-1.9648516";"Adult";"100550";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y"
"M";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"102663";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Adult";"105230";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"103076";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"677";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"104333";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"CA11 8HQ";"54.6662135";"-2.7399888";"Adult";"102579";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101969";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y"
NULL;"CA17 4AP";"54.4806058";"-2.350024";"Adult";"706";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA4 4PE";"54.0670876";"-2.8655259";"Adult";"725";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR4 3HD";"53.7998213";"-2.8807787";"Adult";"102809";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102565";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA9 7NN";"54.3148511";"-2.7328553";"Adult";"101971";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"764";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102892";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"105206";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103073";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"FY8 2HE";"53.7604711";"-3.0334622";"Adult";"102914";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"101313";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"CA6 4JW";"54.9433804";"-2.908663";"Adult";"105386";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"FY8 2HE";"53.7604711";"-3.0334622";"Adult";"822";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"100087";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"830";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102542";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"101976";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"102859";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"868";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103049";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"S66 3QZ";"53.4334505";"-1.2768829";"Adult";"102852";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"103764";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
