"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Active Booker";"365";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"67.00"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"650";"N";"N";"N";"N";"Y";"N";"N";"N";"Y";"N";"67.00"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"102542";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"67.00"
;"BB8 9JQ";"53.8585543";"-2.1637257";"Active Booker";"104269";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N";"67.00"
;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"104833";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"67.00"
;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105230";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"66.50"
;"BL6 4AB";"53.5776912";"-2.5062843";"Student";"105126";"Y";"N";"N";"N";"N";"N";"Y";"N";"Y";"N";"66.50"
;"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102560";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"66.00"
;"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102020";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"66.00"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104889";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"65.60"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104657";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N";"65.00"
"F";"BB11 2HN";"53.7839618";"-2.2437834";"Student";"104349";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"N";"N";"65.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104363";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N";"65.00"
"M";"IP7 6LH";"52.0631787";"0.95178744";"Student";"104284";"N";"N";"Y";"N";"N";"N";"Y";"N";"N";"N";"65.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Student";"105275";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"65.00"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Regular Booker";"103788";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"64.50"
;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"102489";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N";"64.50"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102484";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"64.00"
;"LS14 3HD";"53.861288";"-1.43752";"Active Booker";"102240";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"64.00"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Active Booker";"102161";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N";"63.30"
;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105039";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"63.00"
"C";;;;"Active Booker";"105477";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"63.00"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102523";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N";"63.00"
;"ST9 9DN";"53.0746776";"-2.1081858";"Student";"104267";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"63.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104977";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"62.40"
;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"2281";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"62.00"
;"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105050";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"62.00"
;"LA12 8JL";"54.2719639";"-3.0164124";"Active Booker";"102615";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"61.60"
