"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"C";"L39 2XP";"53.5698769";"-2.8775077";"Student";"101845";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"229.50"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"1934";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"225.60"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"100127";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"224.55"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Student";"100630";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"216.30"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"5185";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"202.50"
"M";;;;"Regular Booker";"2863";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"194.40"
"F";"PR3 0TB";"53.882743";"-2.7994458";"Regular Booker";"6873";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"189.78"
"M";"PR4 5YT";"53.7262091";"-2.7807909";"Regular Booker";"7282";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"188.00"
"M";"PR4 2BU";"53.7819528";"-2.8828197";"Regular Booker";"2859";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"188.00"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"4906";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"188.00"
"M";"LA4 5PU";"54.0725914";"-2.8542724";"Active Booker";"310";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N";"186.80"
"M";"BB18 5AF";"53.9155513";"-2.1869049";"Regular Booker";"103772";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"176.80"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101793";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"171.50"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"100262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"165.60"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"140";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"165.60"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"584";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"165.60"
;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"1758";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"165.60"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"100358";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"165.60"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"100256";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N";"165.60"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"4899";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"165.60"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"100226";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"165.60"
;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"2736";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"163.00"
"C";;;;"Lapsed Booker";"102982";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"158.00"
;"LA22 0JP";"54.4008343";"-2.9735543";"Active Booker";"103787";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"154.50"
"F";"LA8 0LX";"54.2924085";"-2.6926972";"Active Booker";"105410";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"152.60"
;"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"103045";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"151.92"
;;;;"Regular Booker";"103729";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"150.00"
"F";"BL1 4BW";"53.5826165";"-2.4486602";"Lapsed Booker";"102458";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"146.50"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100426";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"146.20"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"103092";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"144.50"
;"FY8 4JX";"53.7483923";"-2.9761462";"Regular Booker";"100593";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"142.88"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"103780";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"141.00"
;;;;"Lapsed Booker";"102559";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"140.00"
;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"103769";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"140.00"
"M";"PR1 2HD";"53.7609091";"-2.7027934";"Student";"1658";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"139.00"
;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"905";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"138.50"
;"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"103785";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"128.50"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105392";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"123.60"
;"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"1387";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"123.50"
;"PR4 3HD";"53.7998213";"-2.8807787";"Active Booker";"105025";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"122.50"
"F";"FY6 8HP";"53.8400329";"-2.9789737";"Lapsed Booker";"102794";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"122.00"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"105937";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"122.00"
;"LA8 8AX";"54.2983918";"-2.8113626";"Regular Booker";"101250";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"121.00"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105484";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N";"120.88"
;;;;"Regular Booker";"103728";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"120.00"
"M";"BB1 9QA";"53.7805183";"-2.4781257";"Active Booker";"1805";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"120.00"
;;;;"Regular Booker";"103727";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"120.00"
;"LA6 2BB";"54.205825";"-2.5969083";"Student";"1493";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"119.00"
