"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"99";NULL;"Computing made easy for the overs 50s : Windows";"4.0840";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"Smith, Bud E.";"Laptops for the older and wiser : getting up and";"4.1600";"NE2 4AB";"54.9839327";"-1.620875"
"36";"McFedries, Paul";"Teach yourself visually computers";"4.1600";"NE5 4DW";"55.0059111";"-1.6856611"
"36";NULL;"Reader's Digest beginner's guide to home computi";"5.4460";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Cooper, Brian";"Searching the Internet";"4.6780";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Gatenby, James";"Introduction to the Internet for the older gener";"4.6780";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Tomlin, Ian";"Cloud coffee house : the birth of cloud social n";"4.3600";"NE27 0NF";"55.0344612";"-1.5120155"
"36";"Holden, Greg";"Brilliant home & wireless networking";"4.6800";"NE27 0NF";"55.0344612";"-1.5120155"
"36";"Doherty, Jim";"Wireless home networking simplified";"4.6800";"NE27 0NF";"55.0344612";"-1.5120155"
"36";"Castro, Elizabeth";"XML";"5.7200";"NE1 5PW";"54.9722632";"-1.6157763"
"36";"Bride, Mac";"HTML : publishing on the World Wide Web";"5.7200";"NE1 5PW";"54.9722632";"-1.6157763"
"36";"Johnson, Steve";"Brilliant Microsoft Office 2007";"5.5000";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Brixey, Debbie";"Silver surfers' colour guide to surfing for frie";"4.6780";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Sherman, Jackie";"Brilliant new CLAIT 2006";"4.0000";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Maran, Ruth";"Teach yourself Microsoft Excel 2000 visually";"5.3690";"NE2 4AB";"54.9839327";"-1.620875"
"36";"MacBride, P. K.";"Brilliant computing for the over 50s";"4.1600";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Johnson, Steve";"Brilliant Microsoft Excel 2007";"5.5400";"NE66 2AB";"55.4055116";"-1.7142829"
"36";"Hart-Davis, Guy";"How to do everything with Microsoft Office Word";"5.5200";"NE66 2AB";"55.4055116";"-1.7142829"
"36";"Bluttman, Ken";"Brilliant Javascript";"5.2760";"NE8 4NP";"54.9511256";"-1.6065377"
"36";"Ballew, Joli";"Laptop basics : Microsoft Windows 7 version";"5.4460";"DH1 3EE";"54.7700481";"-1.5757933"
"36";"Bott, Ed";"Using Microsoft Office Home and Student 2007";"5.7560";"DH1 3EE";"54.7700481";"-1.5757933"
"36";"Bruzzese, J. Peter";"Using Microsoft Windows 7";"5.4460";"DH1 3EE";"54.7700481";"-1.5757933"
"36";"Oram, Andrew";"Beautiful code : leading programmers explain how";"5.1000";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Gross, Christian";"Beginning C# 2008 : from novice to professional";"5.1330";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Miller, Michael";"Easy computer basics";"4.1600";"NE12 8JB";"55.0150567";"-1.5827328"
"36";"Cooper, Brian";"Getting connected";"4.1600";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Stephen, Moira";"Get started with computing, Windows 7 edition";"5.4460";"NE5 3EB";"54.9959224";"-1.664498"
"36";NULL;"Reader's Digest beginner's guide to home computi";"5.4460";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"Wiedemann, Julius";"Web design : best studios";"5.7200";"NE22 5PU";"55.1345044";"-1.5804868"
"36";"Holzner, Steven";"Google Docs 4 everyone";"5.5000";"NE2 1NQ";"54.9828735";"-1.5974036"
"2";"Calabro, Tim";"BlackBerry all-in-one for dummies";"4.1670";"NE31 1EZ";"54.9766367";"-1.5155755"
"2";"McFedries, Paul";"Computers simplified";"4.1600";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Miller, Michael";"Absolute beginner's guide to computer basics";"4.1600";"NE3 2SL";"55.01723";"-1.6492613"
"2";NULL;"Laptops and mobile devices made easy";"4.1600";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Johnson, Steve";"Brilliant Microsoft Office 2007";"5.5000";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"Schwartz, Randal L.";"Learning Perl";"5.7120";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Plew, Ronald R.";"Sams teach yourself SQL in 24 hours";"5.7580";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Warner, Janine";"Dreamweaver CS3 for dummies";"5.7200";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Gookin, Dan";"Laptops for dummies";"4.1600";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"McFedries, Paul";"Teach yourself visually Macs";"4.1650";"NE3 2DW";"55.0225464";"-1.6195574"
"3";"Slack, S. E.";"Brilliant Microsoft Access 2007 pocket book";"5.7560";"NE13 9BJ";"55.02732";"-1.65036"
"3";"Cronan, John";"Microsoft Office Access 2007";"5.7560";"NE13 9BJ";"55.02732";"-1.65036"
"3";"Jelen, Bill";"Microsoft Office Excel 2007 in depth";"5.5400";"NE13 9BJ";"55.02732";"-1.65036"
"36";"Ballew, Joli";"Laptop basics : Microsoft Windows 7 version";"5.4460";"NE3 1AR";"55.0071528";"-1.6117037"
"2";NULL;"Using your PC made easy : Office 2010 and more";"4.1600";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Watson, Lonzell";"Teach yourself visually iPad";"4.1650";"NE3 2DW";"55.0225464";"-1.6195574"
"12";"Stephen, Moira";"Teach yourself basic computer skills";"4.1600";"NE15 6NF";"54.974351";"-1.6753841"
"36";"Andrews, John";"How to do just about anything on a computer";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Muir, Nancy";"Teach yourself visually laptops";"4.1600";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Vandome, Nick";"Laptops for seniors";"4.1600";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Rathbone, Andy";"Windows Vista for dummies";"5.4460";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Johnson, Steve";"Brilliant Microsoft Word 2007";"5.5200";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Geier, Eric";"100 things you need to know about Microsoft Wind";"5.4460";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Muir, Nancy";"Computers for seniors for dummies";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"May, Simon";"Rough guide to Windows 7";"5.4460";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"McFedries, Paul";"Teach yourself visually computers";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Gookin, Dan";"Laptops for dummies";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Criddle, Linda";"Using the Internet safely for seniors for dummie";"4.6780";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Hinton, Mark Justice";"Windows 7 for seniors for dummies";"5.4460";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"McBride, P. K.";"Brilliant Internet for the over 50s";"4.6780";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Gatenby, James";"Computing for the older generation";"4.0000";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Buckley, Peter";"Rough guide to the Internet";"4.6780";"NE7 7PL";"55.0001164";"-1.5787226"
"3";"McFedries, Paul";"Computers simplified";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"3";"Sherman, Jackie";"How to pass NewCLAIT 2006 : using Microsoft Offi";"5.5000";"NE7 7PL";"55.0001164";"-1.5787226"
"3";"Gookin, Dan";"PCs for dummies";"4.1600";"NE7 7PL";"55.0001164";"-1.5787226"
"35";"Johnson, Steve";"Brilliant Microsoft Excel 2007";"5.5400";"NE6 1PL";"54.9755154";"-1.5809154"
"35";"Holden, Greg";"Brilliant Microsoft Excel 2007 tips & tricks";"5.5400";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"Reynolds, Deanna";"Brilliant Microsoft Word 2007 : pocket book";"5.5200";"NE6 5LJ";"54.986578";"-1.5775826"
"2";"Kantaris, Noel";"Introduction to Windows 7";"5.4460";"NE2 1NQ";"54.9828735";"-1.5974036"
"2";"Gatenby, Jim";"Computing and digital photography for the older";"4.0840";"NE2 1NQ";"54.9828735";"-1.5974036"
"35";"Cowie, Fred";"How to create a successful commercial website";"5.7200";"NE64 6PR";"55.1854754";"-1.5148525"
