"branch";"author";"title";"fakecode";"fakelat";"fakelong"
"36";"Patterson, James";"Now you see her";"NE15 7UB";"54.9815404";"-1.6920202"
"35";"Patterson, James";"Don't blink";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Patterson, James";"Private games";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Patterson, James";"Honeymoon";"NE8 3NS";"54.95825";"-1.5897935"
"36";"Patterson, James";"Run for your life";"NE8 3NS";"54.95825";"-1.5897935"
"36";"Patterson, James";"Quickie";"NE8 3NS";"54.95825";"-1.5897935"
"36";"Patterson, James";"Don't blink";"NE1 6PY";"54.9742805";"-1.5994268"
"36";"Patterson, James";"10th anniversary";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Patterson, James";"Kill me if you can";"NE5 4DW";"55.0059111";"-1.6856611"
"2";"Patterson, James";"Run for your life";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"Patterson, James";"Tick, tock";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"Patterson, James";"Worst case";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"Big bad wolf";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"Patterson, James";"Cross";NULL;NULL;NULL
"2";"Patterson, James";"Double cross";NULL;NULL;NULL
"2";"Patterson, James";"Murder of King Tut";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"When the wind blows";"NE5 2SY";"54.9899786";"-1.6833345"
"2";"Patterson, James";"Sail";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Cross fire";"NE3 4XN";"55.0029962";"-1.6345623"
"7";"Patterson, James";"Kill me if you can";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"9th Judgement";"NE13 7BA";"55.0470845";"-1.6490493"
"2";"Patterson, James";"Christmas wedding";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"Private London";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"Patterson, James";"Christmas wedding";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"Patterson, James";"Cross";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"Patterson, James";"Against meducal advice";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"Patterson, James";"Don't Blink";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"Patterson, James";"Alex Cross's trial";"NE3 2DW";"55.0225464";"-1.6195574"
"7";"Patterson, James";"You've been warned";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"I, Alex Cross";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"Beach Road";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"Double cross";"NE7 7PL";"55.0001164";"-1.5787226"
"35";"Patterson, James";"Private London";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Patterson, James";"Toys";"NE2 1NQ";"54.9828735";"-1.5974036"
"11";"Patterson, James";"Kill me if you can";"NE6 4XY";"54.9836239";"-1.5508982"
"3";"Patterson, James";"Private London";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"8th confession";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"Now you see her";"NE5 2SY";"54.9899786";"-1.6833345"
"2";"Patterson, James";"Don't blink";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"Patterson, James";"Swimsuit";"NE3 2DW";"55.0225464";"-1.6195574"
"6";"Patterson, James";"8th confession";"NE6 3NP";"54.9705946";"-1.5480865"
"35";"Patterson, James";"Don't blink";"NE6 1PL";"54.9755154";"-1.5809154"
"35";"Patterson, James";"9th judgement";"NE6 1PL";"54.9755154";"-1.5809154"
"6";"Patterson, James";"Don't Blink";"NE6 2LD";"54.9747647";"-1.5693971"
"35";"Patterson, James";"Postcard killers";"NE6 1PL";"54.9755154";"-1.5809154"
"1";"Patterson, James";"Run for your life";"NE5 1TU";"55.0008475";"-1.7148744"
"35";"Patterson, James";"Private";"NE37 1AR";"54.9107406";"-1.5373556"
"2";"Patterson, James";"Postcard killers";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"Patterson, James";"Cross fire";"NE6 1PL";"54.9755154";"-1.5809154"
"35";"Patterson, James";"Mary,Mary";"NE6 2LD";"54.9747647";"-1.5693971"
"2";"Patterson, James";"Private London";"NE3 2DW";"55.0225464";"-1.6195574"
"7";"Patterson, James";"10th anniversary";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"Patterson, James";"Step on a crack";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"Patterson, James";"Cross fire";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Patterson, James";"Tick tock";"NE4 9EP";"54.9821682";"-1.6541318"
"2";"Patterson, James";"9th Judgement";"NE7 7PL";"55.0001164";"-1.5787226"
"1";"Patterson, James";"London bridges";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Now you see her";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Don't blink";"NE15 8UQ";"54.9833921";"-1.7225947"
"1";"Patterson, James";"I, Alex Cross";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Worst case";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Judge and jury";"NE5 1TU";"55.0008475";"-1.7148744"
"6";"Patterson, James";"James Patterson omnibus";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Patterson, James";"Swimsuit";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Patterson, James";"Don't blink";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Patterson, James";"Christmas wedding";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Patterson, James";"Cross Country";"NE6 4XY";"54.9836239";"-1.5508982"
"1";"Patterson, James";"7th heaven";"NE15 7UB";"54.9815404";"-1.6920202"
"1";"Patterson, James";"Daniel X - watch the skies";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"Step on a crack";"NE5 1TU";"55.0008475";"-1.7148744"
