"Location";"Type";"EstablishmentName";"EstablishmentStatus";"HeadFirstName";"HeadHonours";"HeadLastName";"HeadPreferredJobTitle";"HeadTitle";"Postcode";"Street";"Town"
"Gateshead";"Primary";"White Mere Community Primary School";"Open";"B M";NULL;"Bentley";"Headteacher";"Mrs";"NE10 8BA";"Sherburn Way";"Gateshead"
"Gateshead";"Primary";"Clover Hill Community Primary School";"Open";"Louise Claire";NULL;"Easton";"Headteacher";"Mrs";"NE16 5SJ";"Glenhurst Drive";"Gateshead"
"Gateshead";"Primary";"Crookhill Community Primary School";"Open";"Kristine";NULL;"McCormack";"Acting Headteacher";"Miss";"NE40 3ES";"Hexham Old Road";"Gateshead"
"Gateshead";"Primary";"Dunston Riverside Community Primary School";"Open";"Julie";NULL;"Goodfellow";"Headteacher";"Mrs";"NE11 9DX";"Colliery Road";"Gateshead"
"Gateshead";"Primary";"Brighton Avenue Primary School";"Open";"M";NULL;"Pallent";"Headteacher";"Mrs";"NE8 1XS";"Brighton Road";"Gateshead"
"Gateshead";"Primary";"Lobley Hill Primary School";"Open";"A";NULL;"Tricoglus";"Headteacher";"Mr";"NE11 0AT";"Rothbury Gardens";"Gateshead"
"Gateshead";"Primary";"Wardley Primary School";"Open";"Mustafaa";NULL;"Malik";"Headteacher";"Mr";"NE10 8TX";"Keir Hardie Avenue";"Gateshead"
"Gateshead";"Primary";"Glynwood Community Primary School";"Open";"Debra";NULL;"Ryan";"Headteacher";"Mrs";"NE9 5SY";"Glynwood Gardens";"Gateshead"
"Gateshead";"Primary";"Barley Mow Primary School";"Open";"David";NULL;"Hewitson";"Headteacher";"Mr";"DH3 2DJ";"Pembroke Avenue";"Gateshead"
"Gateshead";"Primary";"Windy Nook Primary School";"Open";"Alwyn Hollins";NULL;"Bathan";"Headteacher";"Mrs";"NE10 9BD";"Albion Street";"Gateshead"
"Gateshead";"Primary";"Colegate Community Primary School";"Open";"A";NULL;"Burton";"Headteacher";"Mrs";"NE10 9AH";"Colegate West";"Gateshead"
"Gateshead";"Primary";"Roman Road Primary School";"Open";"Christine";NULL;"McKeown";"Headteacher";"Mrs";"NE10 8SA";"Leam Lane Estate";"Gateshead"
"Gateshead";"Primary";"Fellside Community Primary School";"Open";"Kevin";NULL;"Doran";"Headteacher";"Mr";"NE16 5AY";"Fellside Road";"Gateshead"
"Gateshead";"Primary";"Fell Dyke Community Primary School";"Open";"Belita";NULL;"Scott";"Headteacher";"Mrs";"NE9 7AA";"Springwell Road";"Gateshead"
"Gateshead";"Primary";"Caedmon Community Primary School";"Open";"N P";NULL;"Hardy";"Headteacher";"Mrs";"NE8 4LH";"Whitehall Road";"Gateshead"
"Gateshead";"Primary";"Whickham Parochial Church of England Primary School";"Open";"A";NULL;"Dobson";"Headteacher";"Mr";"NE16 5QW";"Broadway";"Gateshead"
"Gateshead";"Primary";"Corpus Christi Catholic Primary School";"Open";"C";NULL;"Ingle";"Headteacher";"Mrs";"NE8 4QL";"Dunsmuir Grove";"Gateshead"
"Gateshead";"Primary";"St Joseph's Roman Catholic Voluntary Aided Primary School, Gateshead";"Open";"E";NULL;"Donelly";"Headteacher";"Mrs";"NE8 1LR";"Prince Consort Road";"Gateshead"
"Gateshead";"Primary";"St Oswald's Roman Catholic Voluntary Aided Primary School";"Open";"C A";NULL;"Wallace";"Headteacher";"Mrs";"NE9 7LH";"Easington Avenue";"Gateshead"
"Gateshead";"Primary";"St Peter's Roman Catholic Voluntary Aided Primary School";"Open";"Lisa Ann";NULL;"Stokoe";"Headteacher";"Mrs";"NE9 5TU";"Dryden Road";"Gateshead"
"Gateshead";"Primary";"St Anne's Catholic Primary School";"Open";"Kathryn";"Ba(Hons) Pgce";"Leonard";"Headteacher";"Miss";"NE9 7HX";"Off Pickering Green";"Gateshead"
"Gateshead";"Primary";"St Joseph's Catholic Junior School, Birtley";"Open";"D J";NULL;"Slowey";"Headteacher";"Mr";"DH3 2PN";"School Street";"Gateshead"
"Gateshead";"Primary";"St Joseph's Catholic Infant School, Birtley";"Open";"Valerie Margaret";NULL;"Gibson";"Headteacher";"Mrs";"DH3 1LU";"Mitchell Street";"Gateshead"
"Gateshead";"Primary";"St Agnes' Catholic Primary School";"Open";"M L";NULL;"Hudson";"Headteacher";"Mrs";"NE40 4NF";"Main Street";"Gateshead"
"Gateshead";"Primary";"St Joseph's Roman Catholic Voluntary Aided Primary School, Highfield";"Open";"Anne";"B.A. N.P.Q.H";"Parkin";"Headteacher";"Mrs";"NE39 2JE";"Whinfield Way";"Gateshead"
"Gateshead";"Primary";"St Mary and St Thomas Aquinas Catholic Primary School";"Open";"E";NULL;"White";"Headteacher";"Miss";"NE21 4NE";"Stella Lane";"Gateshead"
"Gateshead";"Primary";"Sacred Heart RC Voluntary Aided Primary School";"Open";"Denis";"Ba Hons Pgce";"Godfrey";"Headteacher";"Mr";"NE16 6NU";"Byermoor";"Gateshead"
"Gateshead";"Primary";"St Philip Neri Roman Catholic Primary School";"Open";"Lucie";NULL;"Stephenson";"Headteacher";"Mrs";"NE8 2QU";"Ellison Road";"Gateshead"
"Gateshead";"Primary";"St Joseph's Catholic Primary School, Blaydon";"Open";"James";NULL;"Hannah";"Headteacher";"Mr";"NE21 4BG";"Croftdale Road";"Gateshead"
"Gateshead";"Primary";"St Mary's Roman Catholic Primary School";"Open";"M T";NULL;"McMillan";"Headteacher";"Mrs";"NE16 4HB";"Duckpool Lane";"Gateshead"
"Gateshead";"Primary";"St John the Baptist Roman Catholic Primary School";"Open";"Deborah";NULL;"Fox";"Headteacher";"Ms";"NE10 9PQ";"Willow Grove";"Gateshead"
"Gateshead";"Primary";"St Alban's Catholic Primary School";"Open";"Deborah Marie";NULL;"Fox";"Headteacher";"Mrs";"NE10 0QY";"Rothbury Avenue";"Gateshead"
"Gateshead";"Primary";"St Augustine's Roman Catholic Voluntary Aided Primary School";"Open";"C";NULL;"Duffy";"Headteacher";"Ms";"NE10 8PP";"Colegate";"Gateshead"
"Gateshead";"Primary";"St Wilfrid's Roman Catholic Voluntary Aided Primary School";"Open";"A";NULL;"Murray";"Headteacher";"Mr";"NE10 0DJ";"Old Fold Road";"Gateshead"
"Gateshead";"Primary";"Whitehall Road Junior School";"Closed";NULL;NULL;NULL;"Headteacher";NULL;"NE8 4LH";"Whitehall Road";"Gateshead"
"Gateshead";"Primary";"Harlow Green Community Primary School";"Open";"Alison";NULL;"Stephenson";"Headteacher";"Mrs";"NE9 7TB";"Harlow Green Lane";"Gateshead"
"Gateshead";"Primary";"Rowlands Gill Community Primary School";"Open";"H J";NULL;"Martin";"Head Teacher";"Miss";"NE39 2PP";"Dominines Close";"Gateshead"
"Gateshead";"Primary";"Kells Lane Primary School";"Open";"D R";NULL;"Hewitson";"Headteacher";"Mrs";"NE9 5HX";"Kells Lane";"Gateshead"
"Gateshead";"Primary";"Chopwell Primary School";"Open";"B";NULL;"Fellowes-Prynne";"Headteacher";"Mrs";"NE17 7HS";"Derwent Street";"Gateshead"
"Gateshead";"Primary";"Parkhead Community Primary School";"Open";"Ben";NULL;"Harding";"Headteacher";"Mr";"NE21 6LT";"Park Lane";"Gateshead"
"Gateshead";"Primary";"St Aidan's Church of England Primary School";"Open";"Lesley";NULL;"Steele";"Headteacher";"Mrs";"NE8 2HQ";"Derwentwater Road";"Gateshead"
"Gateshead";"Secondary";"Lord Lawson of Beamish Community School";"Open";"D J";NULL;"Grigg";"Headteacher";"Mr";"DH3 2LP";"Birtley Lane";"Gateshead"
"Gateshead";"Secondary";"Whickham School";"Open";"N";NULL;"Morrison";"Headteacher";"Mr";"NE16 5AR";"Burnthouse Lane";"Gateshead"
"Gateshead";"Secondary";"Ryton Comprehensive School";"Open";"Steve";NULL;"Williamson";"Headteacher";"Mr";"NE40 3AH";"Main Road";"Gateshead"
"Gateshead";"Secondary";"Heworth Grange Comprehensive School";"Open";"Brian Harrison";NULL;"Huddart";"Headteacher";"Mr";"NE10 0PT";"High Lanes";"Gateshead"
"Gateshead";"Secondary";"Hookergate School";"Open";"P";NULL;"Crabtree";"Headteacher";"Mr";"NE39 2BX";"School Lane";"Gateshead"
"Gateshead";"Secondary";"Kingsmeadow Community Comprehensive School";"Open";"Simon";NULL;"Taylor";"Headteacher";"Mr";"NE11 9NX";"Market Lane";"Gateshead"
"Gateshead";"Secondary";"Thomas Hepburn Community Comprehensive School";"Open";"M";NULL;"Dawson";"Headteacher";"Mr";"NE10 9UZ";"Swards Road";"Gateshead"
"Gateshead";"Secondary";"Cardinal Hume Catholic School";"Open";"N";NULL;"Hurn";"Headteacher";"Mr";"NE9 6RZ";"Old Durham Road";"Gateshead"
"Gateshead";"Secondary";"St Thomas More Catholic School";"Open";"Jonathan";NULL;"Parkinson";"Headteacher";"Mr";"NE21 4BQ";"Croftdale Road";"Gateshead"
"Gateshead";"Secondary";"Joseph Swan School";"Open";"Allan";NULL;"Fuller";"Headteacher";"Mr";"NE9 6LE";"Saltwell Road South";"Gateshead"
"Hartlepool";"Primary";"Hart Primary School";"Open";"Stephen";NULL;"McDonnell";"Headteacher";"Mr";"TS27 3AP";"Magdalene Drive";"Hartlepool"
"Hartlepool";"Primary";"Brougham Primary School";"Open";"K";NULL;"Storie";"Headteacher";"Mr";"TS24 8EY";"Brougham Terrace";"Hartlepool"
"Hartlepool";"Primary";"Golden Flatts Primary School";"Open";"G";NULL;"Anderson";"Headteacher";"Mrs";"TS25 1HN";"Seaton Lane";"Hartlepool"
"Hartlepool";"Primary";"Jesmond Road Primary School";"Open";"Jane";NULL;"Loomes";"Headteacher";"Mrs";"TS26 0HR";"Percy Street";"Hartlepool"
"Hartlepool";"Primary";"Eldon Grove Primary School";"Open";"Julie";NULL;"Deville";"Headteacher";"Ms";"TS26 9LY";"Eldon Grove";"Hartlepool"
"Hartlepool";"Primary";"Lynnfield Primary School";"Open";"Joy";NULL;"Lowe";"Headteacher";"Mrs";"TS26 8RL";"Grosvenor Street";"Hartlepool"
"Hartlepool";"Primary";"Stranton Primary School";"Open";"Neil";NULL;"Nottingham";"Headteacher";"Mr";"TS25 1SQ";"Southburn Terrace";"Hartlepool"
"Hartlepool";"Primary";"Ward Jackson Primary School";"Open";"Janette";NULL;"Brough";"Headteacher";"Mrs";"TS24 7LE";"Clark Street";"Hartlepool"
"Hartlepool";"Primary";"Owton Manor Primary School";"Open";"Caroline";NULL;"Wilkinson";"Headteacher";"Mrs";"TS25 4BT";"Eskdale Road";"Hartlepool"
"Hartlepool";"Primary";"Fens Primary School";"Open";"Margaret";NULL;"Bousfield";"Headteacher";"Mrs";"TS25 2LY";"Mowbray Road";"Hartlepool"
"Hartlepool";"Primary";"Kingsley Primary School";"Open";"David";NULL;"Dobson";"Headteacher";"Mr";"TS25 5JR";"Taybrooke Avenue";"Hartlepool"
"Hartlepool";"Primary";"St Helen's Primary School";"Open";"Lana";"Bed Hons Npqh";"Totty";"Headteacher";"Mrs";"TS24 0HG";"Durham Street";"Hartlepool"
"Hartlepool";"Primary";"West View Primary School";"Open";"Isabell";NULL;"Parkinson";"Acting Headteacher";"Mrs";"TS24 9BP";"Davison Drive";"Hartlepool"
"Hartlepool";"Primary";"Throston Primary School";"Open";"Mark";NULL;"Atkinson";"Headteacher";"Mr";"TS26 0TJ";"Flint Walk";"Hartlepool"
"Hartlepool";"Primary";"West Park Primary School";"Open";"Mark";"B.Ed";"Parry";"Headteacher";"Mr";"TS26 0BU";"Coniscliffe Road";"Hartlepool"
"Hartlepool";"Primary";"Clavering Primary School";"Open";"A";NULL;"Metcalfe";"Headteacher";"Mr";"TS27 3PN";"Clavering Road";"Hartlepool"
"Hartlepool";"Primary";"Barnard Grove Primary School";"Open";"Barry";NULL;"Lennard";"Headteacher";"Mr";"TS24 9SD";"Barnard Grove";"Hartlepool"
"Hartlepool";"Primary";"Rift House Primary School";"Open";"Carole";NULL;"Carroll";"Headteacher";"Mrs";"TS25 4JY";"Masefield Road";"Hartlepool"
"Hartlepool";"Primary";"Rossmere Primary School";"Open";"D";NULL;"Hopper";"Acting Headteacher";"Mrs";"TS25 3JL";"Catcote Road";"Hartlepool"
"Hartlepool";"Primary";"Grange Primary School";"Open";"L";NULL;"Conway";"Headteacher";"Mrs";"TS25 3PU";"Owton Manor Lane";"Hartlepool"
"Hartlepool";"Primary";"St Peter's Church of England Voluntary Aided Primary School";"Open";"Stephen";NULL;"McDonnell";"Headteacher";"Mr";"TS27 3EG";"North Lane";"Hartlepool"
"Hartlepool";"Primary";"Greatham CofE Primary School";"Open";"Julie";"M Ed";"Tyerman";"Headteacher";"Mrs";"TS25 2EU";"Egerton Terrace";"Hartlepool"
"Hartlepool";"Primary";"St Aidan's CofE Memorial Primary School";"Open";"Ian";NULL;"Railton";"Headteacher";"Mr";"TS25 5BA";"Loyalty Road";"Hartlepool"
"Hartlepool";"Primary";"Sacred Heart RC Primary School";"Open";"J";NULL;"Bowann";"Headteacher";"Miss";"TS26 8NL";"Hart Lane";"Hartlepool"
"Hartlepool";"Primary";"St Cuthbert's RC Primary School";"Open";"Mary";NULL;"Frain";"Headteacher";"Miss";"TS25 5AJ";"Stratford Road";"Hartlepool"
"Hartlepool";"Primary";"St Joseph's RC Primary School";"Open";"Margaret";NULL;"Hodgson";"Headteacher";"Miss";"TS24 7HT";"Musgrave Street";"Hartlepool"
"Hartlepool";"Primary";"St Teresa's RC Primary School";"Open";"E";NULL;"Cahir";"Headteacher";"Miss";"TS25 3BG";"Callander Road";"Hartlepool"
"Hartlepool";"Primary";"St Bega's RC Primary School";"Open";"M";NULL;"Cooney";"Headteacher";"Mr";"TS24 0DX";"Thorpe Street";"Hartlepool"
"Hartlepool";"Primary";"St John Vianney RC Primary School";"Open";"John";NULL;"Hardy";"Headteacher";"Mr";"TS24 9PA";"King Oswy Drive";"Hartlepool"
"Hartlepool";"Primary";"Holy Trinity Church of England (Aided) Primary School";"Open";"Amanda";NULL;"Bains";"Headteacher";"Mrs";"TS25 1BZ";"Crawford Street";"Hartlepool"
"Hartlepool";"Secondary";"Dyke House Sports and Technology College";"Open";"Bill";"Cbe";"Jordon";"Headteacher";"Mr";"TS24 8NQ";"Mapleton Road";"Hartlepool"
"Hartlepool";"Secondary";"High Tunstall College of Science";"Open";"Mirjam";NULL;"Bruhler-Willey";"Headteacher";"Mrs";"TS26 0LQ";"Elwick Road";"Hartlepool"
"Hartlepool";"Secondary";"Manor College of Technology";"Open";"Alan";NULL;"White";"Headteacher";"Mr";"TS25 3PS";"Owton Manor Lane";"Hartlepool"
"Hartlepool";"Secondary";"The English Martyrs School and Sixth Form College";"Open";"J";NULL;"Hughes";"Headteacher";"Mr";"TS25 4HA";"Catcote Road";"Hartlepool"
"Hartlepool";"Secondary";"St Hild's Church of England Voluntary Aided School";"Open";"Colin";NULL;"Reid";"Headteacher";"Mr";"TS24 9PB";"King Oswy Drive";"Hartlepool"
"Middlesbrough";"Primary";"Caldicotes Primary School";"Open";"L D";NULL;"Howes";"Headteacher";"Mr";"TS3 9HD";"Spencerfield Crescent";"Middlesbrough"
"Middlesbrough";"Primary";"Kader Primary School";"Open";"Lynne";NULL;"Chalk";"Headteacher";"Mrs";"TS5 8NU";"Staindrop Drive";"Middlesbrough"
"Middlesbrough";"Primary";"Newport Primary School";"Open";"C M";NULL;"Quinn";"Headteacher";"Ms";"TS1 5NQ";"St Paul's Road";"Middlesbrough"
"Middlesbrough";"Primary";"Newham Bridge Primary School";"Open";"J E";NULL;"Iceton";"Headteacher";"Mrs";"TS5 7NJ";"Cayton Drive";"Middlesbrough"
"Middlesbrough";"Primary";"Acklam Whin Primary School";"Open";"John";NULL;"Lees";"Headteacher";"Mr";"TS5 8SQ";"Carlbury Avenue";"Middlesbrough"
"Middlesbrough";"Primary";"Breckon Hill Primary School";"Open";"Cherry";NULL;"Diemoz";"Headteacher";"Mrs";"TS4 2DS";"Breckon Hill Road";"Middlesbrough"
"Middlesbrough";"Primary";"North Ormesby Primary School";"Open";"Christine";NULL;"Kemp-Hall";"Headteacher";"Mrs";"TS3 6LB";"James Street";"Middlesbrough"
"Middlesbrough";"Primary";"The Avenue Primary School";"Open";"Judith";NULL;"Dodd";"Headteacher";"Mrs";"TS7 0AG";"The Avenue";"Middlesbrough"
"Middlesbrough";"Primary";"Lingfield Primary School";"Open";"C";NULL;"Artley";"Headteacher";"Mrs";"TS7 8LP";"Buxton Avenue";"Middlesbrough"
"Middlesbrough";"Primary";"Marton Manor Primary School";"Open";"Gerri";NULL;"Howard";"Headteacher";"Mrs";"TS7 8RH";"The Derby";"Middlesbrough"
"Middlesbrough";"Primary";"Chandlers Ridge Primary School";"Open";"William David";NULL;"Smith";"Headteacher";"Mr";"TS7 0JL";"Chandlers Ridge";"Middlesbrough"
"Middlesbrough";"Primary";"Sunnyside Primary School";"Open";"Paul";NULL;"Scott";"Headteacher";"Mr";"TS8 0RJ";"Manor Farm Way";"Middlesbrough"
"Middlesbrough";"Primary";"Easterside Primary School";"Open";"Ruth";NULL;"Parker";"Headteacher";"Mrs";"TS4 3RG";"Erith Grove";"Middlesbrough"
"Middlesbrough";"Primary";"Archibald Primary School";"Open";"Anita";NULL;"Jefferies";"Headteacher";"Mrs";"TS5 4DY";"Ayresome Green Lane";"Middlesbrough"
"Middlesbrough";"Primary";"Berwick Hills Primary School";"Open";"Louise";NULL;"Moore";"Head Teacher";"Ms";"TS3 7QH";"Westerdale Road";"Middlesbrough"
"Middlesbrough";"Primary";"Brambles Primary School";"Open";"Keith";NULL;"Waller";"Headteacher";"Mr";"TS3 9DB";"Kedward Avenue";"Middlesbrough"
"Middlesbrough";"Primary";"Pennyman Primary School";"Open";"A";NULL;"Kerr";"Headteacher";"Mrs";"TS3 0QS";"Fulbeck Road";"Middlesbrough"
"Middlesbrough";"Primary";"Pallister Park Primary School";"Open";"C";NULL;"Wain";"Headteacher";"Mrs";"TS3 8PW";"Gribdale Road";"Middlesbrough"
"Middlesbrough";"Primary";"Park End Primary School";"Open";"Mary";NULL;"Hall";"Headteacher";"Mrs";"TS3 0AA";"Overdale Road";"Middlesbrough"
"Middlesbrough";"Primary";"Thorntree Primary School";"Open";"Susan";NULL;"Picknett";"Headteacher";"Mrs";"TS3 9NH";"The Greenway";"Middlesbrough"
"Middlesbrough";"Primary";"Green Lane Primary School";"Open";"Janet";NULL;"Lucas";"Headteacher";"Mrs";"TS5 7RU";"Green Lane";"Middlesbrough"
"Middlesbrough";"Primary";"Rose Wood Primary School";"Open";"Lesley";NULL;"Sinclair";"Headteacher";"Mrs";"TS8 0UG";"The Garth";"Middlesbrough"
"Middlesbrough";"Primary";"Hemlington Hall Primary School";"Open";"Pauline";NULL;"Baldwin";"Headteacher";"Mrs";"TS8 9SJ";"Briscoe Way";"Middlesbrough"
"Middlesbrough";"Primary";"Viewley Hill Primary School";"Open";"Andrea";NULL;"Williams";"Headteacher";"Miss";"TS8 9HL";"Andover Way";"Middlesbrough"
"Middlesbrough";"Primary";"St Edward's RC Primary School";"Open";"Colleen";NULL;"Short";"Headteacher";"Mrs";"TS5 6QS";"Eastbourne Road";"Middlesbrough"
"Middlesbrough";"Primary";"St Joseph's RC Primary School";"Open";"Josie";NULL;"Willson";"Headteacher";"Mrs";"TS4 2NT";"Marton Road";"Middlesbrough"
"Middlesbrough";"Primary";"St Clare's RC Primary School";"Open";"Susan";NULL;"Fall";"Headteacher";"Mrs";"TS5 8RZ";"Trimdon Avenue";"Acklam"
"Middlesbrough";"Primary";"St Thomas More RC Primary School";"Open";"Jane";NULL;"Apolloni";"Headteacher";"Mrs";"TS4 3QH";"Erith Grove";"Middlesbrough"
"Middlesbrough";"Primary";"St Bernadette's RC Primary School";"Open";"Mary";NULL;"Cobbold";"Headteacher";"Mrs";"TS7 0PZ";"Cookgate";"Middlesbrough"
"Middlesbrough";"Primary";"St Gerard's RC Primary School";"Open";"E";NULL;"Shovlin";"Headteacher";"Mrs";"TS8 9HU";"Avalon Court";"Middlesbrough"
"Middlesbrough";"Primary";"Corpus Christi RC Primary School";"Open";"Carolyn";NULL;"Baker";"Headteacher";"Mrs";"TS3 8NL";"Cargo Fleet Lane";"Middlesbrough"
"Middlesbrough";"Primary";"Sacred Heart RC Primary School";"Open";"Carol";NULL;"Walker";"Headteacher";"Mrs";"TS1 4NP";"Ayresome Street";"Middlesbrough"
"Middlesbrough";"Primary";"St Alphonsus' RC Primary School";"Open";"Gerard";NULL;"Finn";"Headteacher";"Mr";"TS3 6PX";"Cadogan Street";"Middlesbrough"
"Middlesbrough";"Primary";"St Augustine's RC Primary School";"Open";"Heather";NULL;"Barber";"Headteacher";"Mrs";"TS8 0TE";"Gunnergate Lane";"Middlesbrough"
"Middlesbrough";"Primary";"St Pius X RC Primary School";"Open";"C";NULL;"Percival";"Headteacher";"Mrs";"TS3 7HD";"Amersham Road";"Middlesbrough"
"Middlesbrough";"Primary";"Captain Cook Primary School";"Open";"Judith";NULL;"Buckley";"Acting Headteacher";"Mrs";"TS7 8DU";"Stokesley Road";"Marton"
"Middlesbrough";"Primary";"Abingdon Primary School";"Open";"Robert";NULL;"Eastwood";"Headteacher";"Mr";"TS1 3JR";"Abingdon Road";"Middlesbrough"
"Middlesbrough";"Primary";"Ayresome Primary School";"Open";"Trevor";NULL;"Hutchinson";"Headteacher";"Mr";"TS1 4NT";"Worcester Street";"Middlesbrough"
"Middlesbrough";"Primary";"Whinney Banks Primary School";"Open";"J";NULL;"Wiffen";"Headteacher";"Mr";"TS5 4QQ";"Fakenham Avenue";"Middlesbrough"
"Middlesbrough";"Primary";"Linthorpe Community Primary School";"Open";"Lynn";NULL;"Salton";"Head Teacher";"Miss";"TS5 6EA";"Roman Road";"Middlesbrough"
"Middlesbrough";"Primary";"Beechwood Primary School";"Open";"Sheila";NULL;"Hauxwell";"Headteacher";"Mrs";"TS4 3AP";"Beechwood Avenue";"Middlesbrough"
"Middlesbrough";"Secondary";"Hall Garth Community Arts College";"Open, but proposed to close";"Stephen";NULL;"Taylor";"Headteacher";"Mr";"TS5 7JX";"Hall Drive";"Middlesbrough"
"Middlesbrough";"Secondary";"King's Manor School";"Open, but proposed to close";"Morgan";NULL;"Wallace";"Headteacher";"Mr";"TS5 7JY";"Hall Drive";"Middlesbrough"
"Middlesbrough";"Secondary";"Ormesby School";"Open";"Steven";NULL;"Burrows";"Headteacher";"Mr";"TS3 0RG";"Stockwith Close";"Middlesbrough"
"Middlesbrough";"Secondary";"Acklam Grange School A Specialist Technology College for Maths and Computing";"Open";"John";NULL;"Bate";"Headteacher";"Mr";"TS5 8PB";"Lodore Grove";"Middlesbrough"
"Middlesbrough";"Secondary";"Trinity Catholic College";"Open";"P";NULL;"Coady";"Headteacher";"Mr";"TS5 7EY";"Street Davids Way";"Middlesbrough"
"Middlesbrough";"Secondary";"Oakfields Community College";"Proposed to open";"Michael";NULL;"Hutton";"Headteacher";"Mr";"TS5 7JX";"Hall Drive";"Middlesbrough"
"Newcastle";"Primary";"Dinnington First School";"Open";"Allyson";NULL;"Farrar";"Headteacher";"Mrs";"NE13 7JY";"Sycamore Avenue";"Newcastle upon Tyne"
"Newcastle";"Primary";"Archibald First School";"Open";"Jackie";NULL;"Joicey";"Headteacher";"Miss";"NE3 1EB";"Archibald Street";"Newcastle upon Tyne"
"Newcastle";"Primary";"South Gosforth First School";"Open";"Peter";NULL;"Coles";"Headteacher";"Mr";"NE3 1YF";"Alnmouth Drive";"Newcastle upon Tyne"
"Newcastle";"Primary";"Regent Farm First School";"Open";"Sue";NULL;"Quicke";"Headteacher";"Ms";"NE3 3PE";"Wansbeck Road South";"Newcastle upon Tyne"
"Newcastle";"Primary";"Beech Hill Primary School";"Open";"Nicola";NULL;"Nelson-Taylor";"Headteacher";"Mrs";"NE5 2LW";"Linhope Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Gosforth Park First School";"Open";"Jini";NULL;"Sara";"Headteacher";"Mrs";"NE3 5JQ";"Broadway East";"Newcastle upon Tyne"
"Newcastle";"Primary";"Broadway East First School";"Open";"Julie";NULL;"Adde";"Headteacher";"Mrs";"NE3 5JQ";"Broadway East";"Newcastle upon Tyne"
"Newcastle";"Primary";"Grange First School";"Open";"Stephen";NULL;"Easton";"Headteacher";"Mr";"NE3 2NP";"Norham Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Atkinson Road Primary School";"Open";"Andrea";NULL;"O’Neill";"Headteacher";"Mrs";"NE4 8XT";"Atkinson Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Throckley Primary School";"Open";"Colin";NULL;"Lofthouse";"Head Teacher";"Mr";"NE15 9DY";"Hexham Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Newburn Manor Primary School";"Open";"Jane";NULL;"McFadyen";"Headteacher";"Mrs";"NE15 8PY";"41 Townfield Gardens";"Newcastle upon Tyne"
"Newcastle";"Primary";"Walbottle Village Primary School";"Open";"Maria";NULL;"Tarn";"Headteacher";"Mrs";"NE15 8JL";"The Green";"Newcastle upon Tyne"
"Newcastle";"Primary";"West Denton Primary School";"Open";"Sarah";NULL;"Knowles";"Headteacher";"Miss";"NE5 1DN";"Hillhead Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Knop Law Primary School";"Open";"Pauline";NULL;"Dutton";"Headteacher";"Mrs";"NE5 1LH";"Hillhead Parkway";"Newcastle upon Tyne"
"Newcastle";"Primary";"Milecastle Primary School";"Open";"Lynn";NULL;"Rae";"Headteacher";"Ms";"NE5 1LH";"Hillhead Parkway";"Newcastle upon Tyne"
"Newcastle";"Primary";"Cheviot Primary School";"Open";"Eileen";NULL;"Youngs";"Headteacher";"Mrs";"NE5 4EB";"Yetholm Place";"Newcastle upon Tyne"
"Newcastle";"Primary";"Waverley Primary School";"Open";"Glynis";NULL;"Hyde";"Headteacher";"Mrs";"NE15 7QZ";"Maple Close";"Newcastle upon Tyne"
"Newcastle";"Primary";"Simonside Primary School";"Open";"Jane";NULL;"Sutton";"Headteacher";"Ms";"NE5 4LG";"Bedeburn Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Farne Primary School";"Open";"Liz";NULL;"Simpson";"Headteacher";"Ms";"NE5 4AP";"Marsden Lane";"Newcastle upon Tyne"
"Newcastle";"Primary";"Lemington Riverside Primary School";"Open";"Susan";NULL;"Hall";"Headteacher";"Mrs";"NE15 8RR";"Rokeby Street";"Newcastle upon Tyne"
"Newcastle";"Primary";"Westerhope Primary School";"Open";"Jo";NULL;"Warner";"Headteacher";"Mrs";"NE5 1NE";"Hillhead Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Byker Primary School";"Open";"Linda";NULL;"Bradley";"Headteacher";"Mrs";"NE6 2AT";"Commercial Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Benton Park Primary School";"Open";"Alice";NULL;"Witherow";"Headteacher";"Miss";"NE7 7SS";"Corchester Walk";"Newcastle upon Tyne"
"Newcastle";"Primary";"Hawthorn Primary School";"Open";"Judy M";NULL;"Cowgill";"Headteacher";"Ms";"NE4 6SB";"Park Close";"Newcastle upon Tyne"
"Newcastle";"Primary";"Canning Street Primary School";"Open";"Heather";NULL;"Campbell";"Headteacher";"Ms";"NE4 8PA";"Wellfield Road";"Newcastle upon Tyne"
"Newcastle";"Primary";"Chillingham Road Primary School";"Open";"Karen";NULL;"Elliott";"Headteacher";"Mrs";"NE6 5XX";"Ninth Avenue";"Newcastle upon Tyne"
"Newcastle";"Primary";"Cragside Primary School";"Open";"Mike";NULL;"Howard";"Headteacher";"Mr";"NE7 7EL";"Cragside";"Newcastle upon Tyne"
"Newcastle";"Primary";"Bridgewater Primary School";"Open";"Samantha";NULL;"Robson";"Headteacher";"Mrs";"NE15 6NL";"Bridgewater";"Newcastle upon Tyne"
