"fakecode";"fakelat";"fakelong"
"AB10 1TL";"57.1454913043478";"-2.1057608695652172"
"AB10 6ES";"57.1371774193547";"-2.119431451612905"
"AB11 7UU";"57.13634482758622";"-2.1016379310344826"
"AB12 4NX";"57.06461379310345";"-2.1332827586206893"
"AB12 5XN";"57.11354320987659";"-2.127670781893005"
"AB15 5HR";"57.15003738317749";"-2.1337289719626167"
"AB15 6HA";"57.148449704141996";"-2.159112426035503"
"AB15 8PS";"57.147557939914215";"-2.193454935622318"
"AB15 8PS";"57.147557939914215";"-2.193454935622318"
"AB15 8PS";"57.147557939914215";"-2.193454935622318"
"AB15 9SA";"57.11886175115212";"-2.1855529953917037"
"AB16 5LX";"57.16060400000002";"-2.1477319999999978"
"AB21 0HX";"57.236850847457625";"-2.2319525423728805"
"AB22 8TS";"57.18742333333336";"-2.1200166666666673"
"AB22 8TS";"57.18742333333336";"-2.1200166666666673"
"AB22 8TS";"57.18742333333336";"-2.1200166666666673"
"AB23 8BR";"57.2131229773462";"-2.0875242718446603"
"AB24 1XH";"57.16952808988761";"-2.0926067415730336"
"AB24 4LR";"57.16763095238101";"-2.1273452380952373"
"AB24 5PN";"57.15628571428571";"-2.090785714285715"
"AB25 1LY";"57.15156291390726";"-2.105701986754968"
"AB25 2SU";"57.151591160221";"-2.118922651933702"
"AB31 4LQ";"57.102252";"-2.6126560000000016"
"AB31 5QD";"57.06440856031121";"-2.4584163424124523"
"AB31 6LE";"57.03520560747663";"-2.4801962616822433"
"AB32 6JB";"57.15379858657255";"-2.2986537102473505"
"AB32 6JB";"57.15379858657255";"-2.2986537102473505"
"AB32 6JB";"57.15379858657255";"-2.2986537102473505"
"AB32 6JB";"57.15379858657255";"-2.2986537102473505"
"AB33 8NJ";"57.22601167315178";"-2.7408910505836563"
"AB34 5GT";"57.080702127659606";"-2.7962180851063834"
"AB38 9SQ";"57.50595238095239";"-3.2501587301587302"
"AB39 2FZ";"56.96184717607978";"-2.2190531561461815"
"AB39 2FZ";"56.96184717607978";"-2.2190531561461815"
"AB39 3SN";"57.00463492063498";"-2.2145343915343902"
"AB39 3SN";"57.00463492063498";"-2.2145343915343902"
"AB39 3SN";"57.00463492063498";"-2.2145343915343902"
"AB42 1EP";"57.50995698924731";"-1.7887060931899637"
"AB51 0LE";"57.29355223880597";"-2.3430865671641787"
"AB51 0LE";"57.29355223880597";"-2.3430865671641787"
"AB51 0LE";"57.29355223880597";"-2.3430865671641787"
"AB51 0LE";"57.29355223880597";"-2.3430865671641787"
"AB54 6ES";"57.45707547169808";"-2.66448113207547"
"AB55 4FH";"57.44673863636363";"-3.122136363636364"
"AB55 5NU";"57.53274054054054";"-2.961529729729729"
"AB55 5NU";"57.53274054054054";"-2.961529729729729"
"AB56 5JL";"57.64825384615383";"-2.946915384615384"
"AL1 1JD";"51.74571573604057";"-0.32791370558375676"
"AL1 1JD";"51.74571573604057";"-0.32791370558375676"
"AL1 4HQ";"51.758407407407425";"-0.3156255144032921"
"AL1 4HQ";"51.758407407407425";"-0.3156255144032921"
"AL1 4HQ";"51.758407407407425";"-0.3156255144032921"
"AL1 4HQ";"51.758407407407425";"-0.3156255144032921"
