"5124","0","Antoine Predock","1","","","425","0"
"5125","0","Anton Henning","3","http://www.antonhenning.com","","1210","0"
"5126","0","Anton Rooskens","3","","","1009","0"
"5127","0","Antonio Claudio Carvalho","11","","","3064","0"
"5128","0","Antonio Dias Ribeiro","2","","","1126","0"
"5129","0","Antonio Murado","1","","","454","0"
"5130","0","Antonio Saura","5","","","1245","0"
"5131","0","Antony Gormley","495","www.antonygormley.com","","34284","0"
"28808","0","Arttu! - February 2003","2","","","1673","31"
"5133","0","Anya Patel","1","","","442","0"
"5134","0","AP Komen/Karen Murphy","1","","","421","0"
"5135","0","Arata Isozaki","2","","","862","0"
"5136","0","Architekten-Contor, Schafer-Agather-Scheel","1","","","464","0"
"5137","0","Ardengo Soffici","3","","","780","0"
"5138","0","Arild Kristo","1","","","415","0"
"5139","0","Arima Mitsugi","1","","","416","0"
"5140","0","Aristide Maillol","2","","","896","0"
"5141","0","Arjan van Helmond","1","","","437","0"
"5142","0","Arnaldo Morales","2","","","848","0"
"5143","0","Arne Malmedal","2","","","808","0"
"5144","0","Arnold Mesches","1","","","403","0"
"5145","0","Arshile Gorky","5","","","1498","0"
"25706","0","Maria de Corral","1","","","102","0"
"5147","0","Art Club 2000","3","","","1093","0"
"5148","0","Art2Architecture","0","","","252","0"
"5149","0","Artigues/Sanabria","1","","","385","0"
"5151","0","Artur Barrio","3","","","791","0"
"5152","0","Arturo Herrera","7","","","1813","0"
"5153","0","Arvydas Saltenis","1","","","370","0"
"5154","0","Asa Andersson,","1","","","390","0"
"5155","0","Asger Jorn","65","","","10817","0"
"5156","0","Ashley Bickerton","4","","","575","0"
"5157","0","Astrid Svangren","1","","","440","0"
"5158","0","Atelier van Lieshout","18","http://www.ateliervanlieshout.com/","","2519","0"
"5159","0","Atul Dodiya","2","","","943","0"
"5160","0","Auriea Harvey","0","","","267","0"
"5161","0","Avery Preesman","2","","","935","0"
"5162","0","Avigdor Arikha","5","","","1295","0"
"5163","0","Avis Newman","5","","","1385","0"
