# ----------------------------------------,,,,,
# www.northernstage.co.uk,,,,,
# Devices,,,,,
# 20081018-20120322,,,,,
# ----------------------------------------,,,,,
,,,,,
Mobile Device Info,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
22/09/2010,18,,,,
23/09/2010,27,,,,
24/09/2010,27,,,,
25/09/2010,27,,,,
26/09/2010,10,,,,
27/09/2010,34,,,,
28/09/2010,21,,,,
29/09/2010,8,,,,
30/09/2010,16,,,,
01/10/2010,12,,,,
02/10/2010,14,,,,
03/10/2010,15,,,,
04/10/2010,17,,,,
05/10/2010,23,,,,
06/10/2010,19,,,,
07/10/2010,11,,,,
08/10/2010,17,,,,
09/10/2010,22,,,,
10/10/2010,14,,,,
11/10/2010,17,,,,
12/10/2010,22,,,,
13/10/2010,24,,,,
14/10/2010,27,,,,
15/10/2010,20,,,,
16/10/2010,23,,,,
17/10/2010,16,,,,
18/10/2010,21,,,,
19/10/2010,26,,,,
20/10/2010,15,,,,
21/10/2010,17,,,,
22/10/2010,16,,,,
23/10/2010,31,,,,
24/10/2010,12,,,,
25/10/2010,13,,,,
26/10/2010,22,,,,
27/10/2010,15,,,,
28/10/2010,31,,,,
29/10/2010,12,,,,
30/10/2010,11,,,,
31/10/2010,14,,,,
01/11/2010,14,,,,
02/11/2010,47,,,,
03/11/2010,18,,,,
04/11/2010,28,,,,
05/11/2010,12,,,,
06/11/2010,11,,,,
07/11/2010,12,,,,
08/11/2010,10,,,,
09/11/2010,16,,,,
10/11/2010,14,,,,
11/11/2010,18,,,,
12/11/2010,19,,,,
13/11/2010,17,,,,
14/11/2010,17,,,,
15/11/2010,14,,,,
16/11/2010,11,,,,
17/11/2010,15,,,,
18/11/2010,18,,,,
19/11/2010,19,,,,
20/11/2010,18,,,,
21/11/2010,18,,,,
22/11/2010,20,,,,
23/11/2010,15,,,,
24/11/2010,13,,,,
25/11/2010,18,,,,
26/11/2010,13,,,,
27/11/2010,20,,,,
28/11/2010,29,,,,
29/11/2010,16,,,,
30/11/2010,6,,,,
01/12/2010,10,,,,
02/12/2010,16,,,,
03/12/2010,14,,,,
04/12/2010,36,,,,
05/12/2010,19,,,,
06/12/2010,20,,,,
07/12/2010,28,,,,
08/12/2010,34,,,,
09/12/2010,55,,,,
10/12/2010,30,,,,
11/12/2010,33,,,,
12/12/2010,15,,,,
13/12/2010,17,,,,
14/12/2010,17,,,,
15/12/2010,19,,,,
16/12/2010,22,,,,
17/12/2010,23,,,,
18/12/2010,35,,,,
19/12/2010,16,,,,
20/12/2010,32,,,,
21/12/2010,22,,,,
22/12/2010,21,,,,
23/12/2010,29,,,,
24/12/2010,20,,,,
25/12/2010,8,,,,
26/12/2010,26,,,,
27/12/2010,42,,,,
28/12/2010,36,,,,
29/12/2010,27,,,,
30/12/2010,42,,,,
31/12/2010,16,,,,
01/01/2011,13,,,,
02/01/2011,35,,,,
03/01/2011,31,,,,
04/01/2011,20,,,,
05/01/2011,25,,,,
06/01/2011,26,,,,
07/01/2011,24,,,,
08/01/2011,35,,,,
09/01/2011,21,,,,
10/01/2011,12,,,,
11/01/2011,14,,,,
12/01/2011,21,,,,
13/01/2011,13,,,,
14/01/2011,64,,,,
15/01/2011,36,,,,
16/01/2011,22,,,,
17/01/2011,15,,,,
18/01/2011,12,,,,
19/01/2011,7,,,,
20/01/2011,14,,,,
21/01/2011,18,,,,
22/01/2011,20,,,,
23/01/2011,19,,,,
24/01/2011,14,,,,
25/01/2011,30,,,,
26/01/2011,19,,,,
27/01/2011,17,,,,
28/01/2011,16,,,,
29/01/2011,21,,,,
30/01/2011,25,,,,
31/01/2011,19,,,,
01/02/2011,20,,,,
02/02/2011,28,,,,
03/02/2011,22,,,,
04/02/2011,20,,,,
05/02/2011,18,,,,
06/02/2011,21,,,,
07/02/2011,26,,,,
08/02/2011,23,,,,
09/02/2011,28,,,,
10/02/2011,19,,,,
11/02/2011,22,,,,
12/02/2011,16,,,,
13/02/2011,18,,,,
14/02/2011,18,,,,
15/02/2011,24,,,,
16/02/2011,35,,,,
17/02/2011,35,,,,
18/02/2011,31,,,,
19/02/2011,25,,,,
20/02/2011,22,,,,
21/02/2011,21,,,,
22/02/2011,10,,,,
23/02/2011,50,,,,
24/02/2011,35,,,,
25/02/2011,23,,,,
26/02/2011,20,,,,
27/02/2011,20,,,,
28/02/2011,27,,,,
01/03/2011,22,,,,
02/03/2011,28,,,,
03/03/2011,33,,,,
04/03/2011,59,,,,
05/03/2011,37,,,,
06/03/2011,41,,,,
07/03/2011,37,,,,
08/03/2011,32,,,,
09/03/2011,36,,,,
10/03/2011,43,,,,
11/03/2011,36,,,,
12/03/2011,47,,,,
13/03/2011,37,,,,
14/03/2011,26,,,,
15/03/2011,31,,,,
16/03/2011,41,,,,
17/03/2011,58,,,,
18/03/2011,51,,,,
19/03/2011,64,,,,
20/03/2011,55,,,,
21/03/2011,46,,,,
22/03/2011,46,,,,
23/03/2011,44,,,,
24/03/2011,41,,,,
25/03/2011,44,,,,
26/03/2011,52,,,,
27/03/2011,30,,,,
28/03/2011,30,,,,
29/03/2011,29,,,,
30/03/2011,71,,,,
31/03/2011,42,,,,
01/04/2011,43,,,,
02/04/2011,42,,,,
03/04/2011,24,,,,
04/04/2011,26,,,,
05/04/2011,27,,,,
06/04/2011,24,,,,
07/04/2011,27,,,,
08/04/2011,28,,,,
09/04/2011,28,,,,
10/04/2011,20,,,,
11/04/2011,27,,,,
12/04/2011,38,,,,
13/04/2011,41,,,,
14/04/2011,31,,,,
15/04/2011,35,,,,
16/04/2011,40,,,,
17/04/2011,42,,,,
18/04/2011,27,,,,
19/04/2011,39,,,,
20/04/2011,33,,,,
21/04/2011,19,,,,
22/04/2011,31,,,,
23/04/2011,26,,,,
24/04/2011,18,,,,
25/04/2011,16,,,,
26/04/2011,33,,,,
27/04/2011,29,,,,
28/04/2011,18,,,,
29/04/2011,16,,,,
30/04/2011,34,,,,
01/05/2011,22,,,,
02/05/2011,13,,,,
03/05/2011,12,,,,
04/05/2011,21,,,,
05/05/2011,13,,,,
06/05/2011,15,,,,
07/05/2011,22,,,,
08/05/2011,20,,,,
09/05/2011,44,,,,
10/05/2011,25,,,,
11/05/2011,22,,,,
12/05/2011,20,,,,
13/05/2011,68,,,,
14/05/2011,32,,,,
15/05/2011,18,,,,
16/05/2011,20,,,,
17/05/2011,29,,,,
18/05/2011,13,,,,
19/05/2011,15,,,,
20/05/2011,16,,,,
21/05/2011,22,,,,
22/05/2011,29,,,,
23/05/2011,23,,,,
24/05/2011,31,,,,
25/05/2011,54,,,,
26/05/2011,42,,,,
27/05/2011,30,,,,
28/05/2011,44,,,,
29/05/2011,9,,,,
30/05/2011,22,,,,
31/05/2011,31,,,,
01/06/2011,23,,,,
02/06/2011,18,,,,
03/06/2011,26,,,,
04/06/2011,10,,,,
05/06/2011,17,,,,
06/06/2011,13,,,,
07/06/2011,10,,,,
08/06/2011,10,,,,
09/06/2011,19,,,,
10/06/2011,13,,,,
11/06/2011,11,,,,
12/06/2011,8,,,,
13/06/2011,23,,,,
14/06/2011,22,,,,
15/06/2011,14,,,,
16/06/2011,6,,,,
17/06/2011,12,,,,
18/06/2011,13,,,,
19/06/2011,13,,,,
20/06/2011,15,,,,
21/06/2011,19,,,,
22/06/2011,3,,,,
23/06/2011,21,,,,
24/06/2011,17,,,,
25/06/2011,9,,,,
26/06/2011,10,,,,
27/06/2011,17,,,,
28/06/2011,29,,,,
29/06/2011,49,,,,
30/06/2011,27,,,,
01/07/2011,17,,,,
02/07/2011,20,,,,
03/07/2011,7,,,,
04/07/2011,12,,,,
05/07/2011,13,,,,
06/07/2011,10,,,,
07/07/2011,17,,,,
08/07/2011,5,,,,
09/07/2011,23,,,,
10/07/2011,17,,,,
11/07/2011,13,,,,
12/07/2011,23,,,,
13/07/2011,17,,,,
14/07/2011,15,,,,
15/07/2011,10,,,,
16/07/2011,26,,,,
17/07/2011,21,,,,
18/07/2011,15,,,,
19/07/2011,12,,,,
20/07/2011,11,,,,
21/07/2011,12,,,,
22/07/2011,23,,,,
23/07/2011,8,,,,
24/07/2011,8,,,,
25/07/2011,9,,,,
26/07/2011,12,,,,
27/07/2011,17,,,,
28/07/2011,38,,,,
29/07/2011,16,,,,
30/07/2011,15,,,,
31/07/2011,13,,,,
01/08/2011,20,,,,
02/08/2011,18,,,,
03/08/2011,13,,,,
04/08/2011,44,,,,
05/08/2011,16,,,,
06/08/2011,29,,,,
07/08/2011,21,,,,
08/08/2011,15,,,,
09/08/2011,13,,,,
10/08/2011,28,,,,
11/08/2011,11,,,,
12/08/2011,25,,,,
13/08/2011,13,,,,
14/08/2011,22,,,,
15/08/2011,18,,,,
16/08/2011,22,,,,
17/08/2011,11,,,,
18/08/2011,9,,,,
19/08/2011,12,,,,
20/08/2011,20,,,,
21/08/2011,19,,,,
22/08/2011,15,,,,
23/08/2011,4,,,,
24/08/2011,21,,,,
25/08/2011,20,,,,
26/08/2011,53,,,,
27/08/2011,38,,,,
28/08/2011,23,,,,
29/08/2011,26,,,,
30/08/2011,33,,,,
31/08/2011,21,,,,
01/09/2011,39,,,,
02/09/2011,28,,,,
03/09/2011,30,,,,
04/09/2011,18,,,,
05/09/2011,31,,,,
06/09/2011,51,,,,
07/09/2011,71,,,,
08/09/2011,50,,,,
09/09/2011,49,,,,
10/09/2011,66,,,,
11/09/2011,10,,,,
12/09/2011,53,,,,
13/09/2011,58,,,,
14/09/2011,47,,,,
15/09/2011,47,,,,
16/09/2011,55,,,,
17/09/2011,45,,,,
18/09/2011,34,,,,
19/09/2011,50,,,,
20/09/2011,41,,,,
21/09/2011,63,,,,
22/09/2011,58,,,,
23/09/2011,64,,,,
24/09/2011,57,,,,
25/09/2011,40,,,,
26/09/2011,59,,,,
27/09/2011,47,,,,
28/09/2011,70,,,,
29/09/2011,45,,,,
30/09/2011,33,,,,
01/10/2011,48,,,,
02/10/2011,33,,,,
03/10/2011,38,,,,
04/10/2011,44,,,,
05/10/2011,49,,,,
06/10/2011,56,,,,
07/10/2011,46,,,,
08/10/2011,87,,,,
09/10/2011,40,,,,
10/10/2011,52,,,,
11/10/2011,47,,,,
12/10/2011,51,,,,
13/10/2011,42,,,,
14/10/2011,35,,,,
15/10/2011,39,,,,
16/10/2011,46,,,,
17/10/2011,42,,,,
18/10/2011,77,,,,
19/10/2011,43,,,,
20/10/2011,68,,,,
21/10/2011,69,,,,
22/10/2011,51,,,,
23/10/2011,38,,,,
24/10/2011,27,,,,
25/10/2011,43,,,,
26/10/2011,102,,,,
27/10/2011,42,,,,
28/10/2011,47,,,,
29/10/2011,40,,,,
30/10/2011,32,,,,
31/10/2011,32,,,,
01/11/2011,32,,,,
02/11/2011,28,,,,
03/11/2011,77,,,,
04/11/2011,52,,,,
05/11/2011,38,,,,
06/11/2011,46,,,,
07/11/2011,46,,,,
08/11/2011,38,,,,
09/11/2011,46,,,,
10/11/2011,65,,,,
11/11/2011,43,,,,
12/11/2011,40,,,,
13/11/2011,46,,,,
14/11/2011,28,,,,
15/11/2011,62,,,,
16/11/2011,55,,,,
17/11/2011,41,,,,
18/11/2011,58,,,,
19/11/2011,57,,,,
20/11/2011,59,,,,
21/11/2011,60,,,,
22/11/2011,48,,,,
23/11/2011,55,,,,
24/11/2011,64,,,,
25/11/2011,81,,,,
26/11/2011,101,,,,
27/11/2011,90,,,,
28/11/2011,100,,,,
29/11/2011,68,,,,
30/11/2011,53,,,,
01/12/2011,58,,,,
02/12/2011,91,,,,
03/12/2011,102,,,,
04/12/2011,63,,,,
05/12/2011,76,,,,
06/12/2011,85,,,,
07/12/2011,89,,,,
08/12/2011,80,,,,
09/12/2011,74,,,,
10/12/2011,68,,,,
11/12/2011,70,,,,
12/12/2011,72,,,,
13/12/2011,57,,,,
14/12/2011,65,,,,
15/12/2011,51,,,,
16/12/2011,40,,,,
17/12/2011,72,,,,
18/12/2011,57,,,,
19/12/2011,98,,,,
20/12/2011,70,,,,
21/12/2011,81,,,,
22/12/2011,93,,,,
23/12/2011,66,,,,
24/12/2011,53,,,,
25/12/2011,39,,,,
26/12/2011,92,,,,
27/12/2011,107,,,,
28/12/2011,103,,,,
29/12/2011,93,,,,
30/12/2011,77,,,,
31/12/2011,32,,,,
01/01/2012,62,,,,
02/01/2012,72,,,,
03/01/2012,78,,,,
04/01/2012,62,,,,
05/01/2012,67,,,,
06/01/2012,41,,,,
07/01/2012,57,,,,
08/01/2012,43,,,,
09/01/2012,184,,,,
10/01/2012,126,,,,
11/01/2012,135,,,,
12/01/2012,78,,,,
13/01/2012,61,,,,
14/01/2012,66,,,,
15/01/2012,56,,,,
16/01/2012,56,,,,
17/01/2012,49,,,,
18/01/2012,74,,,,
19/01/2012,60,,,,
20/01/2012,59,,,,
21/01/2012,56,,,,
22/01/2012,62,,,,
23/01/2012,44,,,,
24/01/2012,64,,,,
25/01/2012,96,,,,
26/01/2012,81,,,,
27/01/2012,50,,,,
28/01/2012,91,,,,
29/01/2012,61,,,,
30/01/2012,106,,,,
31/01/2012,53,,,,
01/02/2012,46,,,,
02/02/2012,66,,,,
03/02/2012,61,,,,
04/02/2012,78,,,,
05/02/2012,56,,,,
06/02/2012,66,,,,
07/02/2012,70,,,,
08/02/2012,67,,,,
09/02/2012,105,,,,
10/02/2012,90,,,,
11/02/2012,57,,,,
12/02/2012,49,,,,
13/02/2012,61,,,,
14/02/2012,74,,,,
15/02/2012,70,,,,
16/02/2012,88,,,,
17/02/2012,69,,,,
18/02/2012,54,,,,
19/02/2012,58,,,,
20/02/2012,76,,,,
21/02/2012,100,,,,
22/02/2012,80,,,,
23/02/2012,74,,,,
24/02/2012,48,,,,
25/02/2012,64,,,,
26/02/2012,69,,,,
27/02/2012,72,,,,
28/02/2012,70,,,,
29/02/2012,59,,,,
01/03/2012,99,,,,
02/03/2012,108,,,,
03/03/2012,90,,,,
04/03/2012,118,,,,
05/03/2012,95,,,,
06/03/2012,118,,,,
07/03/2012,96,,,,
08/03/2012,89,,,,
09/03/2012,133,,,,
10/03/2012,94,,,,
11/03/2012,77,,,,
12/03/2012,58,,,,
13/03/2012,67,,,,
14/03/2012,113,,,,
15/03/2012,64,,,,
16/03/2012,81,,,,
17/03/2012,75,,,,
18/03/2012,79,,,,
19/03/2012,90,,,,
20/03/2012,121,,,,
21/03/2012,37,,,,
22/03/2012,7,,,,
,"23,424",,,,
