# ----------------------------------------,,,,,
# www.northernstage.co.uk,,,,,
# Location,,,,,
# 20081018-20120322,,,,,
# ----------------------------------------,,,,,
,,,,,
Country/Territory,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
Algeria,6,1.83,00:01:41,100.00%,50.00%
Panama,6,8.17,00:01:18,100.00%,16.67%
Syria,6,3.17,00:02:43,100.00%,50.00%
Dominica,5,6.6,00:07:25,60.00%,20.00%
Fiji,5,1.8,00:07:56,60.00%,40.00%
Oman,5,1.8,00:00:29,100.00%,60.00%
Uganda,5,1.4,00:00:40,100.00%,60.00%
Zimbabwe,5,1.2,00:00:01,80.00%,80.00%
Côte d’Ivoire,4,1.25,00:00:12,100.00%,75.00%
Tanzania,4,5.75,00:01:44,75.00%,25.00%
Bolivia,3,2,00:02:05,100.00%,33.33%
Botswana,3,2.67,00:01:02,100.00%,66.67%
Cuba,3,1,00:00:00,66.67%,100.00%
Faroe Islands,3,4.33,00:00:44,100.00%,0.00%
Kyrgyzstan,3,1,00:00:00,66.67%,100.00%
Monaco,3,2,00:00:31,66.67%,66.67%
Montenegro,3,2,00:01:32,100.00%,66.67%
Mauritius,3,1.67,00:00:10,100.00%,66.67%
Maldives,3,1.67,00:01:20,66.67%,66.67%
Saint Vincent and the Grenadines,3,1.33,00:00:34,100.00%,66.67%
Yemen,3,4.67,00:01:58,100.00%,0.00%
Andorra,2,2.5,00:00:14,100.00%,50.00%
Netherlands Antilles,2,8,00:02:17,100.00%,0.00%
Cameroon,2,1,00:00:00,100.00%,100.00%
Greenland,2,1.5,00:00:06,100.00%,50.00%
Guyana,2,5,00:06:12,100.00%,0.00%
Honduras,2,2,00:00:16,100.00%,50.00%
Saint Kitts and Nevis,2,1,00:00:00,100.00%,100.00%
Myanmar [Burma],2,2,00:01:15,100.00%,50.00%
Paraguay,2,1,00:00:00,100.00%,100.00%
Suriname,2,1,00:00:00,100.00%,100.00%
Zambia,2,1.5,00:00:24,100.00%,50.00%
Aruba,1,1,00:00:00,100.00%,100.00%
Benin,1,1,00:00:00,100.00%,100.00%
Cape Verde,1,15,00:07:41,100.00%,0.00%
Ethiopia,1,2,00:00:52,100.00%,0.00%
Gabon,1,1,00:00:00,100.00%,100.00%
Gambia,1,1,00:00:00,100.00%,100.00%
Guam,1,1,00:00:00,100.00%,100.00%
Haiti,1,5,00:00:28,100.00%,0.00%
Cayman Islands,1,2,00:00:19,100.00%,0.00%
Saint Lucia,1,1,00:00:00,100.00%,100.00%
Martinique,1,1,00:00:00,100.00%,100.00%
Malawi,1,1,00:00:00,100.00%,100.00%
Mozambique,1,1,00:00:00,100.00%,100.00%
Namibia,1,1,00:00:00,100.00%,100.00%
Nicaragua,1,1,00:00:00,100.00%,100.00%
Rwanda,1,1,00:00:00,100.00%,100.00%
Senegal,1,1,00:00:00,100.00%,100.00%
El Salvador,1,2,00:00:10,100.00%,0.00%
Turks and Caicos Islands,1,1,00:00:00,100.00%,100.00%
Uzbekistan,1,2,00:10:38,100.00%,0.00%
British Virgin Islands,1,3,00:02:19,100.00%,0.00%
,"493,346",4.33,00:02:40,58.09%,31.55%
